,caption,video_id,video,frame,results_st,results_lt
53,a man wearing a baseball cap and a baseball cap,202000823804_3177,202000823804,3177,0.8294679733570641,0.7795985136733042
54,a man in a red shirt is holding a baseball bat,202000823804_3417,202000823804,3417,0.8296718589042237,0.7798550121523353
55,a man is playing a guitar on stage,202000823804_3563,202000823804,3563,0.8295607875910571,0.7796174777602515
56,a man is standing in front of a sign,202000823804_3653,202000823804,3653,0.8297842576602033,0.7797091150018924
57,a man is holding a skateboard in front of a crowd,202000823804_3765,202000823804,3765,0.8298455542727008,0.7799149232502302
58,a person on a court with a tennis racket,202000823804_3869,202000823804,3869,0.8297620060450672,0.779672469437012
59,a baseball player is holding a bat in his hand,202000823804_3936,202000823804,3936,0.8296168835706554,0.7794188380239847
60,a person is jumping off of a ramp on a skateboard,202000823804_4001,202000823804,4001,0.8302401047941196,0.7801136530267406
61,a man is riding a motorcycle on a street,202000823804_4054,202000823804,4054,0.8297713190023916,0.780023875073527
62,a person on skis is in the air on a snowy slope,202000823804_4103,202000823804,4103,0.8301082977925704,0.7801190120481976
63,a man riding a snowboard down a street,202000823804_4178,202000823804,4178,0.8298228875059439,0.7800055883969209
64,a man is talking to a woman in front of a microphone,202000823804_4293,202000823804,4293,0.8298830882250614,0.7799721927302881
65,a man riding a snowboard down a street,202000823804_4451,202000823804,4451,0.8298228875059439,0.7800055883969209
66,a man is riding a snowboard in the air,202000823804_4611,202000823804,4611,0.8299053734634408,0.7799720375338108
67,two skiers are posing for a picture on a mountain,202000823804_4749,202000823804,4749,0.8299091469580525,0.7798392760839796
68,two men in white shirts and black pants playing a game,202000823804_4898,202000823804,4898,0.8295927862135173,0.7797692680553532
69,a basketball player is <unk> a basketball from the hoop,202000823804_5067,202000823804,5067,0.8294873387627337,0.7792736787041592
70,a man is dancing and spinning around in circles,202000823804_5168,202000823804,5168,0.8299280119492704,0.7799994975930479
71,a man is jumping in the air on a skateboard,202000823804_5339,202000823804,5339,0.8300379695366114,0.7799839330359088
72,a hockey player is <unk> a goal,202000823804_5598,202000823804,5598,0.8295010349101414,0.7791856109796299
73,a group of people on skis in the snow,202000823804_5746,202000823804,5746,0.8297744239886987,0.779808811131998
74,a group of people standing on top of a tennis court,202000823804_5881,202000823804,5881,0.8295630854232806,0.7794590192682691
75,a hockey player is running on the ice,202000823804_6102,202000823804,6102,0.8294434646300928,0.7791068605887526
76,a man in a suit and tie standing in front of a microphone,202000823804_6427,202000823804,6427,0.829864709833741,0.7798939353430048
77,a tv screen showing a man on a laptop,202000823804_6807,202000823804,6807,0.8301462535763521,0.7797604952434138
78,a man is playing a piano and singing,202000823937_0,202000823937,0,0.8296337236638374,0.7798054115367475
79,a man is dancing and singing in a room,202000823937_17,202000823937,17,0.8297842097136309,0.780053863657231
80,a pair of skis in the air with a pair of scissors,202000823937_150,202000823937,150,0.8300873491096933,0.7800247815182979
81,a man is jumping in the air with a snowboard,202000823937_621,202000823937,621,0.8299846220298183,0.7799242702692818
82,a man is standing in front of a large sign,202000823937_1230,202000823937,1230,0.8298544668198549,0.7797885980882259
83,a group of men in baseball uniforms standing in front of a sign,202000823937_1684,202000823937,1684,0.8295586640633823,0.7795517482238843
84,a group of people riding skis down a snow covered slope,202000823937_2003,202000823937,2003,0.8299624725822378,0.779985744748608
85,a hockey player is <unk> a <unk> from the ice,202000823937_2221,202000823937,2221,0.8298071265682548,0.7796678728438095
86,a group of people are watching a man on a tennis court,202000823937_2403,202000823937,2403,0.8295589048501072,0.7795222877690895
87,a man is standing in front of a microphone,202000823937_2638,202000823937,2638,0.829925179990445,0.7799222937797258
88,a hockey player is <unk> a goal,202000823937_2941,202000823937,2941,0.8295010349101414,0.7791856109796299
89,a group of men in military uniforms in a motorcycle,202000823937_3128,202000823937,3128,0.8295950908149825,0.7797753988539322
90,a man is smiling and laughing while wearing a coat,202000823937_3301,202000823937,3301,0.829946191110581,0.7802788953100103
91,a man is talking to another man who is sitting in front of him,202000823937_3523,202000823937,3523,0.8297904525898373,0.7798341729545468
92,a man is smiling and laughing while he is walking,202000823937_3645,202000823937,3645,0.8299062612859969,0.7801054917322887
93,a group of people on skis in the snow,202000823937_3820,202000823937,3820,0.8297744239886987,0.779808811131998
94,a skier is racing down a snowy slope,202000823937_4068,202000823937,4068,0.8300798165440822,0.7799985548779574
95,a man is smiling and laughing while he is walking,202000823937_4249,202000823937,4249,0.8299062612859969,0.7801054917322887
96,a man is holding a tennis racket on a court,202000823937_4517,202000823937,4517,0.8297252030010112,0.7797052037575586
97,a hockey player is <unk> a goal,202000823937_4731,202000823937,4731,0.8295010349101414,0.7791856109796299
98,a man is wearing a red and white costume,202000823937_4767,202000823937,4767,0.8296497761405665,0.7801559187872785
99,a hockey player is <unk> a goal,202000823937_4866,202000823937,4866,0.8295010349101414,0.7791856109796299
100,a hockey player is falling down while trying to score a goal,202000823937_4993,202000823937,4993,0.8295515156031664,0.7791080122628985
101,a man is dancing with a woman in a crowd,202000823937_5086,202000823937,5086,0.8295452832754577,0.7799452431652838
102,a man holding a tennis racquet in front of a crowd,202000823937_5356,202000823937,5356,0.8297605544362229,0.7797867883275424
103,a man in a red shirt and a black hat is holding a sign,202000823937_5607,202000823937,5607,0.8297393612723639,0.7800260888714688
104,a man is riding a motorcycle and doing a jump,202000823937_5739,202000823937,5739,0.8298731030632724,0.7799386158836079
105,a person riding skis down a snow covered slope,202000823937_5918,202000823937,5918,0.8300748777061935,0.7801102227295155
106,a man is riding a skateboard on a ramp,202000823937_6037,202000823937,6037,0.8300624754485849,0.7801466562813647
107,a person riding skis down a snow covered slope,202000823937_6154,202000823937,6154,0.8300748777061935,0.7801102227295155
108,a man riding skis down a snow covered slope,202000823937_6263,202000823937,6263,0.8300092905416027,0.7801003800802744
109,a snowboarder is doing a trick in the air,202000823937_6320,202000823937,6320,0.8301127607716037,0.7799063883558041
110,a man in a black shirt is looking at a computer screen,202000823937_6529,202000823937,6529,0.8298472926556998,0.7798869847457458
111,a man riding skis down a snow covered slope,202000823937_6732,202000823937,6732,0.8300092905416027,0.7801003800802744
112,a man riding a skateboard down a ramp,202000823937_6822,202000823937,6822,0.8300624754485849,0.7801466562813647
113,a person on skis jumping in the air,202000823937_7090,202000823937,7090,0.829999024060006,0.7799017386573148
114,a man is riding a skateboard on a ramp,202000823937_7342,202000823937,7342,0.8300624754485849,0.7801466562813647
115,a man in a striped shirt is standing in front of a television,202000823937_7534,202000823937,7534,0.829898107990994,0.7800398204773108
116,a man is jumping in the air on a skateboard,202000823937_7722,202000823937,7722,0.8300379695366114,0.7799839330359088
117,a man riding a skateboard up the side of a ramp,202000823937_7875,202000823937,7875,0.8300116155573378,0.7800299516232385
118,a person riding skis down a snow covered slope,202000823937_8042,202000823937,8042,0.8300748777061935,0.7801102227295155
119,a person on skis is riding down a snowy hill,202000823937_8146,202000823937,8146,0.8299293164131996,0.7800915307056415
120,a man is smiling and talking to someone,202000823937_8278,202000823937,8278,0.8298695081056618,0.7799229613389097
121,a snowboarder is in mid air after a jump,202000823937_8445,202000823937,8445,0.8301651412540575,0.7798442813006243
122,a man is playing a guitar on stage,202000823937_8517,202000823937,8517,0.8295607875910571,0.7796174777602515
123,a snowboarder is doing a trick in the air,202000823937_8622,202000823937,8622,0.8301127607716037,0.7799063883558041
124,a man is standing in front of a microphone,202000823937_8923,202000823937,8923,0.829925179990445,0.7799222937797258
125,a skier is racing down a snowy hill,202000823937_9307,202000823937,9307,0.8299431960623507,0.7799074657728323
126,a skier skiing down a snowy hill with people watching,202000823937_9535,202000823937,9535,0.829914992163701,0.7798759850649519
127,a skier is racing down a snowy slope,202000823937_9637,202000823937,9637,0.8300798165440822,0.7799985548779574
128,a baseball player is holding a bat in his hand,202000823937_9774,202000823937,9774,0.8296168835706554,0.7794188380239847
129,a group of people riding skis on a snowy surface,202000823937_9964,202000823937,9964,0.8299213893069267,0.7799915986628916
130,a person riding skis on a snowy surface,202000823937_10127,202000823937,10127,0.8300480587774712,0.7801421430047826
131,a group of people riding skis down a snow covered slope,202000823937_10397,202000823937,10397,0.8299624725822378,0.779985744748608
132,a man is holding a microphone and a woman is holding a microphone,202000823937_10751,202000823937,10751,0.8299722954156017,0.7800653183943222
133,a sign for a parking lot is in front of a building,202000823937_10975,202000823937,10975,0.829978761327708,0.7797780312932625
134,a man riding skis down a snow covered slope,202000823937_11118,202000823937,11118,0.8300092905416027,0.7801003800802744
135,a group of people riding skis down a snow covered slope,202000823937_11252,202000823937,11252,0.8299624725822378,0.779985744748608
136,a hockey player is <unk> a <unk>,202000823937_11436,202000823937,11436,0.8297901421813759,0.7796431431176579
137,a man is running and then falls to the ground,202000823937_11596,202000823937,11596,0.8299766557422994,0.7797361618446808
138,a skier is racing down a track in front of a crowd,202000823937_11695,202000823937,11695,0.8297927194772365,0.779618083755487
139,a group of people riding skis on top of a snow covered slope,202000823937_11908,202000823937,11908,0.8299235008271434,0.7799031253677424
140,a skier is going down a snowy hill,202000823937_12149,202000823937,12149,0.8299705404500667,0.7799308054723083
141,a man is skiing down a snowy hill,202000823937_12300,202000823937,12300,0.829858466646583,0.7800314454186054
142,a man riding skis down a snow covered slope,202000823937_12455,202000823937,12455,0.8300092905416027,0.7801003800802744
143,a man is holding a microphone in front of a crowd,202000823937_12613,202000823937,12613,0.8298580403181782,0.7799045744160238
144,a group of people on a court playing tennis,202000823937_12815,202000823937,12815,0.8294268627791848,0.7793420796155108
145,a man is running and then he <unk>,202000823937_12990,202000823937,12990,0.8300448434549949,0.7800370470953187
146,a man is riding a motorcycle and is wearing a helmet,202000823937_13109,202000823937,13109,0.829792740081238,0.7801283954034708
147,a man is smiling and laughing at something,202000823937_13263,202000823937,13263,0.8299330376842695,0.7799994410522623
148,a man is standing in front of a poster,202000823937_13415,202000823937,13415,0.8298788106428981,0.7799001881784775
149,a basketball player is jumping in the air as a crowd watches,202000823937_13537,202000823937,13537,0.8296200579330316,0.7793465537901135
150,a woman is dancing and singing on stage,202000823937_13614,202000823937,13614,0.8296249840059631,0.7799257244266847
151,a tennis player is jumping to hit the ball,202000823937_13693,202000823937,13693,0.8296203750377426,0.7793126151876713
152,a man is dancing and singing on stage,202000823937_13776,202000823937,13776,0.8295979608989709,0.7798719728721404
153,a tennis player is in action on the court,202000823937_13843,202000823937,13843,0.8293584946458272,0.7790881936454404
154,a man is dancing with a woman in a suit,202000823937_14027,202000823937,14027,0.8296407199340101,0.7800639402890032
155,a man is jumping on a trampoline and falls,202000823937_14168,202000823937,14168,0.830108871483237,0.7799535146835771
156,a tennis player is jumping in the air as a crowd watches,202000823937_14245,202000823937,14245,0.829662600971797,0.7794272653276619
157,a man is playing a piano while a woman is playing guitar,202000823937_14323,202000823937,14323,0.8296055256456085,0.7797334493447315
158,a tennis player is jumping in the air as a crowd watches,202000823937_14495,202000823937,14495,0.829662600971797,0.7794272653276619
159,a computer screen with a keyboard and a mouse,202000823937_14943,202000823937,14943,0.8303762363108029,0.7799262339400898
160,a man is dancing and singing in a room,202000823938_17,202000823938,17,0.8297842097136309,0.780053863657231
161,a pair of skis in the air with a pair of scissors,202000823938_152,202000823938,152,0.8300873491096933,0.7800247815182979
162,a man standing in front of a poster holding a surfboard,202000823938_431,202000823938,431,0.8300492694528185,0.7800547189772986
163,a baseball player is holding a bat in his hand,202000823938_966,202000823938,966,0.8296168835706554,0.7794188380239847
164,a car is driving down a road with palm trees,202000823938_1435,202000823938,1435,0.830215122162835,0.780190240281916
165,a man is standing in front of a window with a surfboard,202000823938_1566,202000823938,1566,0.830154254136915,0.7801028637489076
166,a vase with flowers in it next to a window,202000823938_1641,202000823938,1641,0.8303232621420239,0.7801589857731032
167,a man is dancing in front of a television,202000823938_1763,202000823938,1763,0.8297732304283079,0.7797512063922716
168,a hockey player is <unk> a goal,202000823938_1950,202000823938,1950,0.8295010349101414,0.7791856109796299
169,a man is dancing in a room with a lot of people,202000823938_2114,202000823938,2114,0.8297845763337971,0.7798661964047654
170,a man riding skis down a snow covered slope,202000823938_2278,202000823938,2278,0.8300092905416027,0.7801003800802744
171,a crowd of people standing around a tv,202000823938_2498,202000823938,2498,0.8298116863071946,0.7796476491880217
172,a tv screen showing a man playing a game,202000823938_2649,202000823938,2649,0.8297481405006127,0.7793557048350859
173,a car with a lot of luggage on it,202000823938_2712,202000823938,2712,0.830300377357409,0.780082507128701
174,a baseball player is throwing a baseball,202000823938_2791,202000823938,2791,0.8292124710702407,0.7790116650641736
175,a man is dancing in a room with a lot of people,202000823938_2958,202000823938,2958,0.8297845763337971,0.7798661964047654
176,a group of men playing a game of soccer,202000823938_3160,202000823938,3160,0.8291683397538392,0.7790626236953958
177,a group of men on a field playing baseball,202000823938_3342,202000823938,3342,0.8292381908333051,0.779180293565041
178,a man in a suit holding a tennis racquet,202000823938_3486,202000823938,3486,0.8297933514819242,0.7798860655931765
179,a man is dancing in front of a television,202000823938_3636,202000823938,3636,0.8297732304283079,0.7797512063922716
180,a man is wearing a baseball cap and a baseball cap,202000823938_3764,202000823938,3764,0.8294679733570641,0.7795985136733042
181,a group of men on a field playing baseball,202000823938_3918,202000823938,3918,0.8292381908333051,0.779180293565041
182,a baseball player is holding a bat in a stadium,202000823938_4049,202000823938,4049,0.829451705563128,0.7792692174944368
183,a baseball player holding a bat on a field,202000823938_4058,202000823938,4058,0.8294649287435597,0.779247131859789
184,a team of men are celebrating on a field,202000823938_4074,202000823938,4074,0.8292993833835248,0.7792424332568955
185,a team of baseball players standing on a field,202000823938_4096,202000823938,4096,0.8292174894486284,0.7789192713523653
186,a team of men are celebrating on a field,202000823938_4118,202000823938,4118,0.8292993833835248,0.7792424332568955
187,a baseball player is holding a bat and a catcher is behind him,202000823938_4145,202000823938,4145,0.8295752535539382,0.7793603934062747
188,a man is dancing in a room with a lot of people,202000823938_4230,202000823938,4230,0.8297845763337971,0.7798661964047654
189,a baseball player is holding a bat and a catcher is behind him,202000823938_4373,202000823938,4373,0.8295752535539382,0.7793603934062747
190,a man in a suit and tie is smiling,202000823938_4825,202000823938,4825,0.8297322543056688,0.7799176764560161
191,a man sitting at a desk working on a laptop,202000823938_5231,202000823938,5231,0.8300778640773457,0.7799991124772457
192,a woman is talking on a cell phone,202000823938_5286,202000823938,5286,0.8300840245207698,0.7799544160342023
193,a man in a suit and tie standing in front of a wall,202000823938_5447,202000823938,5447,0.8298541557037317,0.779826657975099
194,a group of people on a court playing a game of tennis,202000823938_5696,202000823938,5696,0.8294022446870595,0.779216614620204
195,a hockey player is <unk> a goal,202000823938_5868,202000823938,5868,0.8295010349101414,0.7791856109796299
196,a man in a suit and tie standing in front of a wall,202000823938_6589,202000823938,6589,0.8298541557037317,0.779826657975099
197,a man sitting at a desk working on a laptop,202000823938_7431,202000823938,7431,0.8300778640773457,0.7799991124772457
198,a basketball player is <unk> a goal,202000823938_7650,202000823938,7650,0.8294957407696454,0.7791758129823
199,a man is playing a video game on a tv screen,202000823938_7725,202000823938,7725,0.8297393625685265,0.7793203533835265
200,a man is dancing on stage with a band,202000823938_7873,202000823938,7873,0.8296046219204725,0.7798405723920879
201,a man is dancing and singing on stage,202000823938_8014,202000823938,8014,0.8295979608989709,0.7798719728721404
202,a man in a suit and tie standing in front of a wall,202000823938_8111,202000823938,8111,0.8298541557037317,0.779826657975099
203,a man is sitting in front of a large poster,202000823938_8345,202000823938,8345,0.8299660038066047,0.7800095360184826
204,a man in a suit and tie holding a camera,202000823938_8862,202000823938,8862,0.8298531468709289,0.7798266481470847
205,a person is riding a skateboard down a ramp,202000823938_9262,202000823938,9262,0.8301608562024747,0.780161420266748
206,a group of people playing a game of tennis,202000823938_9383,202000823938,9383,0.8293728578112699,0.7791775008166092
207,a hockey player is <unk> a goal,202000823938_9473,202000823938,9473,0.8295010349101414,0.7791856109796299
208,a group of people on skis in the snow,202000823938_9551,202000823938,9551,0.8297744239886987,0.779808811131998
209,a man riding skis down a snow covered slope,202000823938_9681,202000823938,9681,0.8300092905416027,0.7801003800802744
210,a woman is smiling and talking to someone,202000823938_9836,202000823938,9836,0.8298965312310913,0.7799767129059045
211,a group of people standing on a tennis court,202000823938_9978,202000823938,9978,0.8295455627907293,0.7794858651776376
212,a man is jumping on a trampoline and then falls,202000823938_10032,202000823938,10032,0.830108871483237,0.7799535146835771
213,a group of people standing on a tennis court,202000823938_10214,202000823938,10214,0.8295455627907293,0.7794858651776376
214,a tennis player is jumping to hit the ball,202000823938_10452,202000823938,10452,0.8296203750377426,0.7793126151876713
215,a tennis player is jumping up and down,202000823938_10570,202000823938,10570,0.8294221042958257,0.7791584631529281
216,a group of people are playing a game of soccer,202000823938_10709,202000823938,10709,0.8292830621876434,0.7790900795989801
217,a man is dancing and singing on stage,202000823938_10805,202000823938,10805,0.8295979608989709,0.7798719728721404
218,a man is holding a sign and a woman is holding a microphone,202000823938_10898,202000823938,10898,0.8298783471917116,0.7799231992100034
219,a man is playing a piano on stage,202000823938_11144,202000823938,11144,0.8295669100177037,0.7795999152129771
220,a man is holding a tennis racket in his hand,202000823938_11398,202000823938,11398,0.8298555162634089,0.7798000313250981
221,a man and a woman are standing in the snow,202000823938_11741,202000823938,11741,0.8297614950351939,0.7799638267683814
222,a man wearing a winter hat and holding a cell phone,202000823938_12258,202000823938,12258,0.8299215992837429,0.7800198252691509
223,a man and a woman are standing in the snow,202000823938_12620,202000823938,12620,0.8297614950351939,0.7799638267683814
224,a man wearing a hat and holding a cell phone,202000823938_12813,202000823938,12813,0.8299407637946291,0.7800390989039241
225,a man and a woman are standing in the snow,202000823938_13074,202000823938,13074,0.8297614950351939,0.7799638267683814
226,a man wearing a hat and holding a cell phone,202000823938_13387,202000823938,13387,0.8299407637946291,0.7800390989039241
227,a man and a woman are standing in the snow,202000823938_13626,202000823938,13626,0.8297614950351939,0.7799638267683814
228,a woman is smiling and laughing while wearing a black dress,202000823938_13884,202000823938,13884,0.8297838545001034,0.7802478210324606
229,a laptop computer sitting on top of a desk,202000823938_14193,202000823938,14193,0.8301921158771518,0.7798414372475685
230,a man is playing a guitar on stage,202000823938_14341,202000823938,14341,0.8295607875910571,0.7796174777602515
231,a man is dancing and singing in a room,202000824011_14,202000824011,14,0.8297842097136309,0.780053863657231
232,a snowboarder is jumping in the air with a white board,202000824011_146,202000824011,146,0.8299617637863236,0.7799164910750986
233,a man in a suit is standing in front of a tv,202000824011_400,202000824011,400,0.8298520920916136,0.7797774967958293
234,a sign for a library with a keyboard and a guitar,202000824011_587,202000824011,587,0.8301045259699446,0.7799199435246479
235,a man is standing in front of a tv,202000824011_686,202000824011,686,0.8298574170092173,0.7796858664729703
236,a sign for a <unk> <unk> is shown,202000824011_770,202000824011,770,0.8302907047050105,0.7801067201559535
237,a snowboarder is in mid air while performing a stunt,202000824011_914,202000824011,914,0.8300607855346352,0.7798505492859985
238,a group of people standing on a sidewalk holding a surfboard,202000824011_1256,202000824011,1256,0.8300276863683118,0.7800501515932582
239,a building with a clock built into it,202000824011_1534,202000824011,1534,0.830187528362502,0.779945143799776
240,a man is walking in the snow with a jacket on,202000824011_1657,202000824011,1657,0.8299076610814575,0.7802198456547114
241,a group of people standing on top of a field,202000824011_1880,202000824011,1880,0.8296178895293845,0.7794591911088099
242,a man on a skateboard doing a trick,202000824011_2066,202000824011,2066,0.8299459493360574,0.7799641637046345
243,a man in a blue jacket holding a snowboard,202000824011_2252,202000824011,2252,0.829929917046188,0.7801739652737916
244,a parking lot full of snow and a parking lot,202000824011_2470,202000824011,2470,0.8300237332436168,0.7798642115507419
245,a man in a suit and tie holding a tennis racket,202000824011_2680,202000824011,2680,0.8297607291661553,0.7797980453465816
246,a man is standing in front of a sign,202000824011_2973,202000824011,2973,0.8297842576602033,0.7797091150018924
247,a large building with a clock on it,202000824011_3244,202000824011,3244,0.8302202609072097,0.7800134961595906
248,a group of people riding skis on a snowy surface,202000824011_3464,202000824011,3464,0.8299213893069267,0.7799915986628916
249,a group of people on skis in the snow,202000824011_3645,202000824011,3645,0.8297744239886987,0.779808811131998
250,a man holding a tennis racquet on a tennis court,202000824011_3844,202000824011,3844,0.8296443335245315,0.7796287100975084
251,a snow covered street with a parking meter and a car,202000824011_4045,202000824011,4045,0.8302044051982875,0.780136294965625
252,a sign with a <unk> on it and a message,202000824011_4152,202000824011,4152,0.8301546812820584,0.779934464701996
253,a sign that is sitting in the snow,202000824011_4221,202000824011,4221,0.829996530981704,0.7798590332386943
254,a bench sitting in front of a building with a sign on it,202000824011_4314,202000824011,4314,0.8299471825316451,0.7797530809053106
255,a group of people standing around a snow covered ski lift,202000824011_4445,202000824011,4445,0.8299290560066028,0.7798504569586152
256,a man in a suit and tie standing in front of a boat,202000824011_4678,202000824011,4678,0.8298358697266653,0.779892498942536
257,a group of people riding skis on top of a snow covered slope,202000824011_4872,202000824011,4872,0.8299235008271434,0.7799031253677424
258,a group of people standing on top of a snow covered slope,202000824011_5029,202000824011,5029,0.8299422638368542,0.7798512719305642
259,a group of people skiing down a snow covered slope,202000824011_5429,202000824011,5429,0.82998635260807,0.7799378995610285
260,a group of people on a field with a tennis racket,202000824011_5807,202000824011,5807,0.8296455716576379,0.7795088723481287
261,a group of people riding skis down a snow covered slope,202000824011_6015,202000824011,6015,0.8299624725822378,0.779985744748608
262,a group of people standing on top of a snow covered slope,202000824011_6236,202000824011,6236,0.8299422638368542,0.7798512719305642
263,a group of people riding skis down a snow covered slope,202000824011_6661,202000824011,6661,0.8299624725822378,0.779985744748608
264,a man is holding a microphone and a woman is holding a guitar,202000824011_7056,202000824011,7056,0.8299091923591442,0.7800524705674955
265,a skier is racing down a snowy slope,202000824011_7212,202000824011,7212,0.8300798165440822,0.7799985548779574
266,a skier is jumping a ramp in a competition,202000824011_7366,202000824011,7366,0.8300498309548927,0.7797611528746858
267,a man is playing a guitar and another man is playing a guitar,202000824011_7475,202000824011,7475,0.8296187969646295,0.7796889194210433
268,a man is dancing on a stage with a microphone,202000824011_7530,202000824011,7530,0.8297594789467468,0.7799006268897257
269,a man in a suit and tie standing in front of a television,202000824011_7618,202000824011,7618,0.829792968952684,0.7797237801260402
270,a man is jumping in the air with a tennis racket,202000824011_7932,202000824011,7932,0.8298856608561056,0.7797818742205878
271,a man is holding a baseball bat in front of a crowd,202000824011_8372,202000824011,8372,0.8296427481357284,0.7796697809688653
272,a man is dancing in front of a crowd of people,202000824011_8651,202000824011,8651,0.8296556768698891,0.7798272521602865
