,video_id,description,short_term,long_term,normalized_short_term,probability
15,188,a white man on a street in summer runs with legs and arms - a man on a sidewalk starts moving as a running dog at daytime.,0.83,0.71,0.7802243767909018,1.3457287e-15
16,216,two women fight with hands and legs at home. one woman jumps in the air - in a living room 2 woman perform a fight,0.85,0.83,0.8499999928387707,6.571523e-13
17,220,2 women talk with each other indoors - 2 women are talking to each other in a room.,0.91,1.0,0.9130434713807462,5.732596e-08
18,225,an african man sings at home - african man in black clothes and with black hat is singing to the camera,0.72,0.67,0.7199999943412919,7.430973e-11
19,227,a dog wiggles his bottom in a room - dog shaking its bottom in a room,0.92,0.83,0.9166666595516372,2.4336681e-17
20,241,a man lying on the floor - a man laying on his belly in a kitchen,0.88,0.71,0.8401887745692203,0.0070033786
21,246,a person holding a phone to the ear - a man in woman clothes falls down in sow next to street at daytime,0.96,1.0,0.962962956030231,1.04528635e-05
22,250,an asian man cries indoors - an asian boy shows some toys and starts crying.,0.78,0.83,0.7826086882794425,5.5328478e-11
23,261,man laughs in a bathroom - man stands in bathroom,1.0,0.89,0.9999999499948856,5.571456e-09
24,271,3 men are chasing each other outdoors - a man runs away outdoors at daytime,0.85,0.63,0.8208109394417125,1.00547825e-13
25,276,"a child sleeps on a bed. then, he wakes up suddenly - in a bed a baby wake up",0.78,0.71,0.777777772267314,3.017776e-12
26,279,a person is holding food with chopsticks - a man eats in a tv show,0.8,0.43,0.7614265848804934,7.745576e-13
27,280,a soccer player is scoring a goal on a soccer field at daytime - soccer player scoring a volley goal soccer field at nighttime,0.8,0.71,0.7999999934860742,3.7091295e-14
28,305,a man opens his mouth - a man opens and closes a door and reacts surprised.,0.95,0.38,0.9491333580609754,0.0036474
29,309,"in the daytime, a horse walks in a court - in a prairie a little pony is walking through it",0.76,0.71,0.690893681041283,6.664121e-14
30,310,a woman is laughing in a living room - a woman sings behind a table,0.87,0.88,0.8224552971454552,1.0638794e-07
31,315,persons are laughing together on a stage - 7 persons are sitting in a row in front of a group of 5 persons.,0.77,1.0,0.7201001637485096,1.0706058e-07
32,398,a man cracks an egg and a chick is coming out in a kitchen - white guy cracking an egg in a kitchen,1.0,0.88,0.999999739878568,8.6957613e-10
33,400,an otter is casually floating in water at daytime - otter casually floating around in water at daytime,0.93,0.86,0.9243708100677234,1.8348163e-15
34,410,"a chinese woman plays on mobile in an indoor place, where an other person moves its hand to the hair of the woman - in a hair salon a european woman with blond hair is looking at her mobile phone",0.71,0.57,0.7142857074627852,7.223371e-15
35,415,a man performs on a stage - man gesticulates on stage,0.57,0.93,0.5714285652971959,2.1956528e-06
36,484,2 men hug each other - a man with coat and megaphone is embracing a woman on stage.,0.71,0.2,0.7083333260924195,4.9884047e-10
37,505,persons film an event - persons dance on a stage,0.85,0.67,0.8063882524049356,2.1609583e-12
38,508,a man is wearing a black shirt - a man is knocking on a door in front of a house at daytime,0.87,1.0,0.8683967241151598,1.4585241e-05
39,528,a woman kicks a man in a tv show at daytime - woman kicks a man outdoors at daytime,0.8,0.83,0.7999999929851698,1.7752758e-17
40,538,basketball players jump on a trampoline on a basketball field - 4 basketball players jump on a basketball field,0.93,1.0,0.9259259187573324,1.6971419e-13
41,539,men sing on a stage - men sits on a stage,0.64,0.63,0.6339213358943504,1.1835009e-09
42,541,a woman making faces in a kitchen - a woman hits herself indoors at daytime,1.0,1.0,0.9999998685414104,6.470072e-10
43,549,man holds his phone outdoors at daytime - boy moves his legs outdoors at daytime,0.85,1.0,0.8214393521184611,6.3087833e-18
44,553,goat screams indoors at daytime - goat lies on the ground indoors at daytime,0.8,0.83,0.7994525307076741,3.187345e-17
45,556,a turtle with wide open mouth - a turtle opens its mouth outdoors,0.96,1.0,0.9599999931097212,7.725847e-08
46,574,runner in a sports arena run against a blue pad - a man jumps up a blue mattress at the end of a raceway and falls down behind it after running out together with a group of black runners.,0.89,0.5,0.8888888821564767,2.7676246e-21
47,632,2 persons are singing and playing guitar in a room - white man and colored woman singing in a room,0.89,1.0,0.8903673589347291,2.294443e-09
48,650,a man jumps against a girl indoors - man hits a girl indoors,0.79,0.75,0.7588160431268071,2.2004152e-15
49,660,a turtle eats a watermelon on a table - a turtle and a small animal are eating melon.,0.81,1.0,0.7972044711130011,2.3104948e-22
50,661,a man blocks a kids throw and scores a goal on a basketball court - basketball player stealing the ball from a small kid at a basketball stadium,0.81,0.67,0.8148148083638579,6.6303746e-18
51,663,a motorcyclist is moving around on his motorbike on a street at night - motorcyclist bouncing on his motorbike on the highway at nighttime,0.77,0.75,0.7582798546581806,0.0
52,687,a woman says something outdoors at daytime - a woman sits in front of a car at daytime,0.89,0.63,0.8888888824485655,3.744539e-13
53,730,a man articulates and gesticulates - colored man emphatically explaining something in a tv studio,0.9,0.71,0.8999999929149858,0.0
54,731,children run outdoors at daytime - kids play soccer on a soccer field at daytime,0.82,0.71,0.7704350270560841,4.292586e-10
55,754,man gesticulates indoors at daytime - man touches his neck indoors at daytime,0.87,0.9,0.8593335805834236,1.736922e-21
56,760,a baseball player throws his bat on a baseball field at daytime - baseball player hitting the ball hard on a baseball field at daytime,0.71,0.75,0.7142857070754464,2.8293147e-13
57,784,a sportsman throws his helmet into the ground in a sports hall - at a american football field player with number 2 smash his helmet and get hit by it,0.88,0.5,0.8749999938904217,1.7871037e-14
58,798,2 women pose on a red carpet - 2 young women are posing in dresses on a red carpet.,0.92,0.7,0.916666659187098,4.5224716e-10
59,799,a man is poking his eye with a party blower - a man hurt himself with a party horn,0.88,0.67,0.8799999936468585,1.9928726e-20
60,815,a dog jumps over an obstacle onstage - in a hall a white dog is jumping hop over obstacles,0.93,0.83,0.9253615567945034,7.2222854e-13
61,818,a person is wearing dark shades - a person take off his sun glasses outdoors at daytime,1.0,1.0,0.9999998402496176,1.0604355e-09
62,827,a man is making the hair of another man - a man styles other mans hair outdoors,0.92,0.75,0.8969169509807415,7.843995e-16
63,829,a woman dancing on a stage - a woman dances on a stage,0.92,0.83,0.9219699564021496,0.0026013376
64,834,football players hit a camera outdoors - football players push a camera outdoors,0.82,0.88,0.823529404596256,5.2840493e-17
65,853,a basketball player is scoring a field goal on a basketball court - basketball player scoring a buzzer beater in a basketball stadium,0.8,1.0,0.7334571574832065,2.0747875e-08
66,854,a boy says something on a stage - an asian man saying something in a microphone on a large screen on a stage is shown.,0.68,0.88,0.6854577023924674,9.82859e-11
67,864,a white woman in a dining room screams and gesticulates with her arms - a woman standing in a room is saying something making gestures.,0.64,0.7,0.6399999931728821,6.333069e-15
68,919,a woman appears in different looks onstage - on a podium a european woman with long hair is shown in a sequence of different scenes,0.8,0.67,0.7720563414616004,2.245096e-16
69,935,a woman wearing large earrings - a woman holds her chin indoors at daytime,0.79,1.0,0.7916666594635204,2.151014e-05
70,941,man holds a hammer indoors - a woman moves a sword indoors,0.9,1.0,0.8999999935754056,1.493296e-14
71,952,a person puts out the tongue - a man sticks out the tongue in different locations,0.73,0.89,0.6803423698426442,3.1647138e-10
72,955,a man bastes himself with a shake in a restaurant - a man in a restaurant starts pouring milkshake over his head.,0.81,0.75,0.8148148063371811,0.0
73,957,2 men are fighting in a boxing ring - a wrestler throw another wrestler on the mat in a wrestling fight ring,0.94,1.0,0.929571644751986,7.1470765e-07
74,983,a puppie walking down some stairs - a dog manages stairs safely indoors at daytime,0.88,0.71,0.8749999936525981,2.6626163e-22
75,989,a kitten meows in a cage - a kitten meows in a cage,0.87,1.0,0.8666666599456012,1.01879e-40
76,1000,a cat in a superman costume climbs into a carton in a room - cats sitting around surprised in a room,0.86,0.83,0.8564877493114216,1.1915222e-13
77,1004,a person is wearing pink suit - a person smiles into the camera on a stage,0.88,0.6,0.8359033493600861,4.2020573e-10
78,1015,"in the daytime, a man pulls a chocolate with a small instrument. the chocolate is filled in and out the instrument - in a workshop a brown liquid move upward once a metal object is put in",0.92,0.86,0.9101947774137514,1.1280236e-32
79,1024,a man in a costume nods to a woman outdoors at night - two asian people talking to each other outside at nighttime,0.68,0.6,0.6818181739465561,3.6709194e-13
80,1025,a man in swimming trunks holds a ball in front of his crotch - naked asian man talking to the camera,0.9,0.83,0.89102669526584,3.031111e-07
81,1030,young plays with basketball in the sports hall. he strikes an other young to the face with his hand and shoots the ball - in a basketball hall a boy beat his opponent and make a score,0.87,0.33,0.866666659776532,1.2113411e-20
82,1034,a woman wakes up in bed - a girl is waking up from a green pillow.,0.9,0.92,0.8999999929338021,0.00020001181
83,1099,2 men are doing saltos synchronously outdoors at daytime - two people doing double flip outside on a sunny day,0.88,0.89,0.8677799060066758,4.2364275e-14
84,1103,young walks and turn at home - in a office a chinese man perform a dance,0.91,0.33,0.9052264194916372,9.494677e-21
85,1110,a man gesticulates in front of a group of people indoors - asian man making gestures to a group of sitting people at a film set,0.65,0.67,0.6186235062898281,2.2717583e-24
86,1115,"in the daytime, a woman dance by moving her legs and ass at home - in a living room a woman with black hair and pink and grey clothes wiggle her backside",0.95,1.0,0.9474861427278982,7.331177e-21
87,1128,a group of people playing a soccer match - a feminine soccer player kicks a ball over another soccer player on a soccer field,0.81,0.71,0.8124999938714023,2.4610845e-06
88,1129,a turtle dances under the water at home by moving its body as well as hands and legs - in a shower a turtle wobble their backside to get hit by water,0.88,0.71,0.8749999939846287,1.9221646e-17
89,1131,a hispanic man waves his hand - a man standing in front of a swing door is waving his hand.,0.69,0.91,0.6923076857451383,2.2948582e-07
90,1142,a woman speaks and moves her head forward onstage - a woman greets in a tv show,0.7,0.0,0.6956521683396982,3.9707092e-14
91,1152,"in the daytime, an african woman sings and dances - a thickly african woman is singing",0.93,0.86,0.926647960560308,8.033482e-08
92,1154,"in the daytime, a woman sits in the front of car and moves her legs and ass - a woman moves her butt in front of a car at daytime",1.0,0.78,0.9999997367746756,1.1446521e-18
93,1173,a young man is wearing a black suit - a man in suit speaks into the camera,0.92,0.83,0.9021139667850108,6.5653203e-06
94,1174,a half naked woman dances by moving her ass and legs at home - in a living room a woman wobble her backside,0.89,0.83,0.8590893278809503,3.0046423e-17
95,1177,an action figure is rotating on his head via stop motion - white man spinning on head on the street,0.74,0.57,0.7391304284614191,9.687051e-15
96,1182,"a black man on a stage shakes his body - different persons in a talk show are shown dancing, crying and freaking out.",0.7,0.75,0.6632950843272161,1.667562e-11
97,1190,a boy starts to cry outdoors at daytime - little boy starting to cry in the streets at daytime,0.96,0.9,0.9608749641288772,1.1037142e-15
98,1193,a group of women dancing on a stage - a man touches his chin in a tv show,0.96,0.75,0.956521732462514,0.0028164596
99,1199,a man chews outdoors at daytime - a man next to a car is shown chewing a gum outdoor surrounded by people.,0.87,0.6,0.8529635785989178,4.1356405e-16
100,1203,2 women dance synchronously on a stage - two woman dancing synchronously on a stage in the evening,0.81,1.0,0.7480354491523191,0.0
101,1206,a dog imitating a baby by crawling on the floor in a living room - a dog crawls indoors,0.95,0.73,0.9409363939069526,1.118205e-22
102,1213,a man gets hit in the face in a room - white guy getting slapped in the face in a room at daytime,0.7,0.88,0.6956521675770927,1.4472235e-07
103,1220,"a man smiles in front of water at daytime - an asian boys sits outside next to a water, smiles and claps his hands.",0.84,0.91,0.8518921788186098,3.471822e-17
104,1223,a man shows his fingers in a car at daytime - a man sitting in a driving cabrio car is giving finger to the left and to the right.,0.91,0.63,0.909090901947889,4.1147867e-19
105,1238,a cat is doing tricks in a room - cat imitating movements of a person in a room at daytime,0.77,0.86,0.7379060448414336,3.681451e-07
106,1245,a man speaks and sings onstage - on a podium a european man perform a song,0.73,0.7,0.7298990576551029,7.5031726e-12
107,1246,2 women are singing in a room - two girls singing in front of closet,0.91,0.88,0.9130434708164896,3.449973e-10
108,1248,a man is holding plastic rings in front of his face in a room - black man emulating smoke circles with paper in a room,0.85,0.57,0.8499999937110085,4.7033367e-11
109,1267,a man playing with a soccer ball - a football player kicks a ball into a gate on a soccer field at daytime,0.81,0.5,0.8148148073626084,0.0010244208
110,1279,children hug each other indoors at daytime - a black kid enters a room full of children and gets passionately embraced by a blond girl.,0.94,0.67,0.8936960174571021,3.1380263e-14
111,1281,boys greet in a tv show - a couple of asian men are nodding their head in a tv show in front of a white wall.,0.88,0.33,0.8599024922450456,8.827123e-17
112,1309,"at night, multiple persons sing onstage and the audience celebrate - in a music stadium a firework during presentation happen",0.95,0.91,0.9401112142334248,2.1781085e-21
113,1317,"in the daytime, a driver let the steering wheel of car and slip on the slide above his car in the street - on a car on a street the driver climb out of his moving car and use the slide on cargo area of the car",1.0,0.83,0.9999998528066348,6.783364e-26
114,1319,"a hedgehog stands on the legs of somebody, who moves his hands over the hedgehog - a hedgehog be pet at his head",0.96,0.86,0.9565217326106644,5.554069e-39
115,1326,a young girl dancing with a cat in her hands - a girl throws a cat away indoors at daytime,0.83,0.67,0.78653595728535,1.705387e-07
116,1343,woman does a handstand indoors - woman was hit by a big sign indoors,0.84,0.6,0.8343820216833531,4.3716076e-22
117,1355,a man speaks into a microphone and gesticulates - white man in suit holding speech at a lectern,0.62,1.0,0.5685058209239591,4.7807576e-32
118,1375,"in the daytime, a boy sits at a table and speaks with a ketchup bottle - in a kitchen young boy talking with the bottle",0.89,0.83,0.8379750986614359,1.007409e-17
119,1381,a little child making faces on a train - a child goes through a train at daytime,0.9,0.63,0.8999999936041247,1.9485885e-11
120,1392,a boy gets hit from an elastic band - a boy in a room is sitting on a bed trying to make an exercise with a strap hitting himself.,0.83,0.75,0.8409556231870787,1.6858947e-15
121,1395,a chinese man speaks and moves his head at home - young chinese man with yellow jacket doing some grimace,0.72,0.57,0.6573458973652813,4.6827945e-17
122,1421,"a boy slips in a garden at daytime - because of a breaking slide, a kid tumbles down from a slide right before the swimming pool.",0.91,0.78,0.9130434720490564,1.7505784e-17
123,1423,a black man turns around and moves his arms - a black man standing in front of yellow wall is moving his arms from his back to the front.,0.84,0.67,0.8421052563626109,2.1773305e-09
124,1436,a person wearing a plaid shirt - a man says something 2 times,0.81,1.0,0.8148148085006678,1.9086181e-05
125,1443,man dances at home - a african man with grey clothes show a rap dance,0.8,0.71,0.7643821411940801,1.2332234e-10
126,1463,basketball player sits on a bank in the basketball stadium. he turns to the audience and plays with a boy - in a basketball hall a new york-player with number 7 is greeting a little boy,0.6,0.6,0.5999999929676614,1.7000088e-23
127,1484,a dog shows his paw on a bed at daytime - a dog lying with the back on some blankets is moving his arms upon being asked questions.,0.85,0.67,0.8499999936888858,5.343275e-17
128,1489,a man is standing in front of a mixer console indoors at night - white guy looking at a sound mixer in an arena,0.82,0.78,0.8360667328743696,1.6601302e-14
129,1495,two men sing and one of them plays on guitar at home - in a living room 2 european men with guitar are singing,0.9,0.86,0.9047618980241486,8.034039e-12
130,1500,a boy holding a controller in his hands in a room - colored child holding game controller while sitting in a room,0.85,0.67,0.8461538394920151,1.0831184e-10
131,1506,a man is talking - a man cries into the camera indoors at daytime,0.85,0.67,0.850371901815317,6.0762557e-07
132,1517,a man is dancing on a street at daytime - man dancing on the street at dusk,0.71,1.0,0.7303048175039252,1.2947353e-09
133,1530,an asian man bends forward - a young asian man is sneezing several times loudly outside.,0.94,0.88,0.931179175653802,5.0985067e-11
134,1583,man moves his arm - a man knocks on a table indoors,0.79,0.67,0.7894736782659381,6.571672e-09
135,1586,"a black woman speaks - a black woman is saying ""lies"" a couple of times.",0.71,0.73,0.7142857087743782,6.0040355e-09
136,1589,dancing women are spinning around indoors - several persons dancing synchronously in a dance hall at daytime,0.76,0.71,0.7647058764869565,4.9553296e-16
137,1591,tennis player scores on a tennis court at daytime - tennis players play on a tennis court at daytime,0.92,0.86,0.9194769259998996,3.5147354e-09
138,1592,an american football player catches a football at a gridiron - football player throwing football over the whole field on a football field at nighttime,0.76,0.89,0.7619047543345118,9.700342e-18
139,1595,persons walks through a hall in a tv show - a group of persons walks through a shop.,0.93,1.0,0.9285714221426096,1.6806712e-10
140,1619,girls are hugging each other - asian girls hugging each other in a room,0.88,0.9,0.8676765751608847,4.7967305e-06
141,1632,"in the daytime, multiple persons walk in the street - on a street a european woman refused a handshake",0.71,0.78,0.7142857074541742,4.4177195e-10
142,1650,a soccer player is running into another soccer player and falling down on a soccer field at daytime - soccer players crashing into another with high legs on a soccer field at nighttime,0.84,0.86,0.8399999935953945,2.5170833e-15
143,1663,a man is flailing around with his arms outdoors - black guy flailing his arms in a garden at dusk,0.91,0.8,0.9055725462036026,3.7e-43
144,1697,a woman pets a pony outdoors at daytime - asian girls walking around outside,0.8,0.71,0.7999999920203535,4.3149398e-10
145,1706,a woman getting hit by a wave - a woman was hit by a wave on a beach at daytime,0.87,0.88,0.8695652111527228,2.3335923e-08
146,1707,"in the daytime, a boy plays in the court and throws the toy airplane in the air. it flies and hits him - boy in black and grey clothes and start a model aircraft and be hit by it",0.82,0.5,0.7770936239769144,5.0355657e-26
147,1710,man talks into the camera - man talks into a camera,0.65,0.5,0.617518114244546,6.14168e-09
148,1729,a man says something behind 2 microphones - man speaks into the microphone,0.91,0.71,0.9130434711211504,3.555247e-06
149,1731,a white basketball player is scoring a goal on a basketball court against a yellow wearing team - basketball player scoring a three pointer on a basketball field,0.84,0.5,0.8421052558025232,7.4282314e-10
150,1733,a man pans out of the screen in a room - football player slides out of the picture in a locker room,0.76,0.69,0.7598267561993668,1.8907566e-14
151,1746,2 men are talking to each other - two white man talking to each other on a stage,0.74,0.78,0.7391304285899113,4.6954738e-06
152,1750,woman speaks into a microphone onstage - on a podium sarah palin talk to her supporter,0.75,0.6,0.7499999935874071,7.772154e-12
153,1751,"two sportsmen play with a sword in a sports hall. one is won. then, two referee move the flag to him - in a kendo hall the left fighter hit the right fighter",0.89,1.0,0.8888888819443269,0.0
154,1758,a man knocking over a tree in the woods - a man hits a tree in a wood at daytime,1.0,1.0,1.0,7.338557e-09
155,1766,"Outdoor track field, woman runs toward high jump bar, runs into it, knocks it over, falls. - Young Asian girl tries to jump horizontal pole and knocks it down",0.76,0.57,0.7599999931638335,1.5565677e-15
156,1785,"Two women wearing red fur tipped jackets, sing and do hand movements to music on stage. - Asian girls in fur-trimmed red capes sing Christmas song and point fingers",0.85,1.0,0.808110540447778,2.4626766e-25
157,1798,Man sitting ion driving seat of car reacts with anger when passenger won't let him use smart phone. - Two guys in car discuss who can use the phone charger for his phone,1.0,0.67,0.9999996574631612,2.0516235e-29
158,1800,"A probe is inserted into corn dog on paper plate and connected smart phone suddenly lights up. - An Asian man first pours a liquid from a can into a dish containing what looks like a sweet potato, then plugs a cell phone into it and the phone comes on and he and someone else exclaims something in an Asian language",0.82,0.75,0.7942213645479775,2.5312801e-31
159,1805,Man dances and moves to music in outdoor street setting as people watch and applaud. - People dance in street including two women wearing saris,0.85,0.5,0.8333922559088331,1.1251184e-22
160,1809,"During baseball game, several Dodger players remove hat to salute man in announcer booth. - LA Dodgers baseball players tip their hats to retiring broadcaster Vin Scully",0.6,0.33,0.5857037115734919,2.3457774e-13
161,1814,Two performers with open mikes in make-up room where woman is getting sponged. - An Asian woman is singing to a crowed while being made up.,0.83,0.5,0.798211312615788,0.0
162,1824,"Man enters room and demonstrates cutting tennis shoe with knife which alarms men who had been seated. - Group of young men says they won't sing, to man entering room but they sing high-pitched notes when he produced a knife and pretends to cut an athletic shoe",0.95,0.71,0.9523809457787652,3.650387e-30
163,1836,"In featureless white room, girl holds nose then laughs and covers mouth with hand. - Young Asian woman holds her breath for just a few seconds and then she and others in the background laugh",0.79,0.43,0.7916666589054709,3.7431536e-18
164,1850,Man shimmies in aisle and man facing him laughs. - Three young men dance in the aisle of a vehicle as music plays in the background.,0.76,1.0,0.7302810860007841,3.2776578e-13
165,1853,"Asian woman says something and two young Asian men repeat it for a TV show. - A young Asian woman says something in Japanese to the exclamation of two Japanese men - A stage setting, where a young asian girl comments, and male responders react.",0.7,0.71,0.7037036962465552,6.167945e-17
166,1856,"Child on trampoline responds to man by saying ""someday you'll be dead"" - A man is talking to his toddler jumping on a trampoline, outside.",1.0,0.89,0.9999995881599082,0.0
167,1870,"Young performer, flanked by two other young male performers, makes some gymnastic moves as he sings and the music plays - A blond haired white male performer twirling around and doing a flip in the air to music. - a blond young man dressed with a sparkling shirt and ripped jeans dancing on stage with a group of five young men dancing in he background - Asian singer, on stage, during performance, executing gymnastic moves.",0.83,0.67,0.833333326776058,1.0098702e-30
168,1893,Major League baseball player Azdrubel Cabrera hits a home run - Professional baseball player makes a field homerun and runs towards the bases; he claps as he walks towards the dugout. - A sport commentator is narrating how a baseball player hits the ball out of the field for the seventh time - A baseball player hitting an opposite field homerun during a game.,0.67,0.73,0.6346351800959037,3.37233e-39
169,1896,"Man lying on rug hits hanging bottles, girl plays guitar - A young woman plays the guitar and a young man plays a set of empty soda bottles with xylophone sticks with music in the background. - A while male and female lying on a carpet on the floor, playing music on a guitar and with water bottles singing and harmonizing. - a woman playing a guitar and a man using bottles to make sounds - A caucasian couple, lying on a rug and playing music, with him playing ""bottles"" and she a guitar.",0.91,0.91,0.9090909019757684,3.7894368e-10
170,1912,"Man with white shirt numbered 4 spins with long light stick on a stage - Young Asian performer swings some kind of rope at a concert and twirls around. - A young male twirling a green strap on stage as music plays in the background - A performer , on stage, twirling light sticks.",0.75,0.57,0.7495067233027846,4.3410033e-35
171,1918,"Asian female performers scream on stage before an audience - Teen Asian girls on stage screaming and gyrating provocatively before a crowd - Asian performers on stage, with a bump and grind to the delight of the other performers and the audience.",0.88,0.67,0.8799999936965234,7.431044e-12
172,1938,"Two police Officers looking for a suspect and find him under a mattress. - Clips of cops looking for a suspect, set to music, in a closet and under the mattress, and finding him in the latter.",0.79,1.0,0.7699440902929992,2.0292387e-10
173,1948,"Three Asian performer, one man and two women, taking bows on stage before an laughing audience - Two women and one male each wearing a pink top; one woman and male greeting each other by bowing - Two asian girls and on asian guy, performing on stage, and taking bows.",0.9,0.83,0.8999999927795221,5.0067885e-15
174,1965,A soccer game where the soccer player quickly drives the soccer ball down field to score a goal. - Soccer player running the entire field and making a corner goal shot.,0.73,0.5,0.7138695396846908,4.18764e-10
175,1967,"Scenes of male student in school with songs about Mr. Lonely playing in background as he appears sad - A young Black man walking the school hallway, sitting alone in a classroom and then looking longingly out a window. - Clips of a lonely student, walking a hall in school, resting on lunch counter, and looking out of window.",0.92,0.8,0.9068197587147936,9.066921e-26
176,1974,"Young Asian woman saying something to camera as music plays - Asian girl, turning to camera in a kitchen, and smiling",0.89,0.64,0.8888888814395668,1.2613243e-12
177,1976,"Older man wearing glasses escaping from his vehicle which is sinking in the water and swimming to another man who assists him during daylight - Man swims away from flooded car as two men stand in the water and talk into microphones - a man is swimming in gushing water, in a river, and is held by other man, - An older man escapes from a flooded car and swims to shallower water and then is assisted by a younger man. - A man swims from a boat that has capsized outside during the daytime.",0.88,1.0,0.8749999928792009,2.5602304e-28
178,1981,Woman with red nail polish tickles belly of cute kitten - Kitten responding to tummy scratches by handler.,0.85,1.0,0.8503641875025385,2.6973106e-38
179,1999,"Two men are fooling around and one bumps the other in the chest. - Two young Asian men on stage make gestures and say something that makes the audience laugh - Two asian performers doing a practice routine on stage, one that goes bad.",0.83,0.75,0.8333333262238203,1.2721825e-06
180,2000,A woman looking into the camera and saying something. - Close-up of asian female singer.,0.71,0.83,0.7142857075558732,0.00014050909
181,2011,A young woman is talking and a fictional character jumps out of the screen. - Young women talking about studying for finals and freaking out - A young woman talking to herself in various video clips about studying and not watching TV.,0.95,0.8,0.944233606126984,3.89856e-11
182,2019,A man standing in a room is talking into the camera. - An arab speaker doing a video test in a room with artifacts.,0.89,0.63,0.8888888819260001,4.2044888e-09
183,2022,Various scenes of a movie are shown with people doing different things. - Promo for some weird FX TV show with quick violent scenes promos - Clip Montage of an actor in various scenes.,1.0,0.4,0.9999997270532748,3.5932732e-09
184,2024,Various scenes of a movie showing people doing different things. - Cast from original Star Wars movie are shown as music plays in the background - Star Wars actors and Actresses on carpet and in front of audience.,0.75,0.78,0.7357908282877432,1.2708645e-10
185,2030,Two women are talking to each other. - Young Asian woman talks to herself in various scenes - Japanese girl doing video montage of herself responding to questions.,0.78,0.67,0.7777777707056331,0.0010010907
186,2041,"Two separate shots of a man waving into the camera. - In an ad for some friending site two young men wave to each other - Multiple shots of an athlete waiving at his fan base, in studio and outdoors.",0.95,0.88,0.9499999935814818,2.5715216e-10
187,2057,"In one clip a man opens the door of a moving subway and falls out and in another clip a newborn baby sits in an infant seat and someone takes its arm and takes it up to the baby's mouth. - Young man jams open subway car door and then falls on platform with rapper in the background saying ""dummy, dummy, dummy"" - a man, jumping off a moving transit car, falling and a switch to baby having his hands moved to music.",0.83,0.8,0.8260869496588962,3.9952304e-22
188,2058,A man is running around hitting Referee with a folding chair. - Man at basketball game grabs a folding chairs and hits two referees with music playing in the background - Basketball game where a large male fan grabs a scoreboard and strikes two refs.,0.83,0.57,0.8260869503462861,5.0440537e-17
189,2072,"Two men standing side by side are getting ready to pay ping pong. - Doubles ping pong, in which two players sing and then play.",0.83,0.57,0.8231290275513814,6.460587e-19
190,2075,A man is singing while sitting next to another one smiling. - Responses to music of 2 asian boys in a studio.,0.86,0.67,0.8571428497312582,3.4084421e-13
191,2081,A woman standing in a lobby is walking around and talking. - An asian girl speaking a part in a studio.,0.92,0.88,0.9199999937012604,3.069102e-11
192,2096,A man is talking and making faces while music is playing. - Clips of an actor responding to music and effects.,0.8,0.75,0.7757750320379565,2.9531187e-12
193,2107,"Girl in cafeteria setting makes playful noises and gestures while two people sprawl on seating. - young girl speaks, waves arms, with red-trim counter with green chairs behind - Group of young people in a food court with lots of chairs/sofas; one girl is looking into camera making faces and hand gestures while 2 others are perched on sofa. - one woman shouting directions to ASSISTANT and dog in building - Some people are in an area scaring and chasing a dog.",0.76,0.8,0.7793252890740124,1.5200284e-22
