video_id,video_url,description
148,https://mtc.cdn.vine.co/r/videos_h264high/FB5D924DB81331967614607634432_52a486f3467.9.0.5886835836032353801.mp4,on a sidewalk a chinese man try to look at eyes of a little white dog directly
160,https://mtc.cdn.vine.co/r/videos_h264high/FE9C9F170D1308081475459121152_SW_WEBM_145484512398988b8611260.mp4,an asian woman on a stage does the robot dance
160,https://mtc.cdn.vine.co/r/videos_h264high/FE9C9F170D1308081475459121152_SW_WEBM_145484512398988b8611260.mp4,an asian woman in front of a blinking wall starts moving like a robot.
165,https://mtc.cdn.vine.co/v/videos/9C281B88-9E54-40CF-B706-001D77E37B24-1594-0000012B4CCBBADF_1.1.2.mp4,"in the daytime, 3 persons turn and dance in an indoor place"
165,https://mtc.cdn.vine.co/v/videos/9C281B88-9E54-40CF-B706-001D77E37B24-1594-0000012B4CCBBADF_1.1.2.mp4,in a room with big windows members of a dance group perform a synchronous dance
171,https://v.cdn.vine.co/r/videos/0207C093101288735495769169920_4ad45098de1.4.0.5252287499279722342.mp4,"in the daytime at sunset, sea waves move to the beach"
171,https://v.cdn.vine.co/r/videos/0207C093101288735495769169920_4ad45098de1.4.0.5252287499279722342.mp4,on a beach red clouds above waves
172,https://mtc.cdn.vine.co/r/videos/2C1CD022071092061332540416000_2674f4e57f2.0.4.3058183557457386274.mp4,a woman says something on a couch
172,https://mtc.cdn.vine.co/r/videos/2C1CD022071092061332540416000_2674f4e57f2.0.4.3058183557457386274.mp4,a blond woman sitting on a couch in front of a white wall is saying things in different languages.
188,https://v.cdn.vine.co/r/videos/0C1A2F8E1E1218317824469385216_34cbd3da9a6.3.3.9089864552611462995.mp4,a white man on a street in summer runs with legs and arms
188,https://v.cdn.vine.co/r/videos/0C1A2F8E1E1218317824469385216_34cbd3da9a6.3.3.9089864552611462995.mp4,a man on a sidewalk starts moving as a running dog at daytime.
216,https://v.cdn.vine.co/r/videos/17FBE3535C970925666092863488_1421fd21cbc.3.1_5j8bDTUTiYJk7aPXgb2AiYtWaHOAgCH7PWvneuGIUDH9HwSKDfgi1.UbR2eEPUBC.mp4,two women fight with hands and legs at home. one woman jumps in the air
216,https://v.cdn.vine.co/r/videos/17FBE3535C970925666092863488_1421fd21cbc.3.1_5j8bDTUTiYJk7aPXgb2AiYtWaHOAgCH7PWvneuGIUDH9HwSKDfgi1.UbR2eEPUBC.mp4,in a living room 2 woman perform a fight
220,https://v.cdn.vine.co/r/videos/18B239B7631008171022677073920_146b2b733e2.3.1_lujEzqnA6Ehu5tLvEBN2LqWBLSwXi.js1PGTBauREt8fQdE0E9I9w2WRk9YDxu5O.mp4,2 women talk with each other indoors
220,https://v.cdn.vine.co/r/videos/18B239B7631008171022677073920_146b2b733e2.3.1_lujEzqnA6Ehu5tLvEBN2LqWBLSwXi.js1PGTBauREt8fQdE0E9I9w2WRk9YDxu5O.mp4,2 women are talking to each other in a room.
225,https://v.cdn.vine.co/r/videos/1A677686E51275231391042670592_4b48645f719.3.0.4839819134134558798.mp4,an african man sings at home
225,https://v.cdn.vine.co/r/videos/1A677686E51275231391042670592_4b48645f719.3.0.4839819134134558798.mp4,african man in black clothes and with black hat is singing to the camera
227,https://v.cdn.vine.co/r/videos/1A9A09E87C1020423331884720128_105f712bb90.4.4.4745769629819302061_3cinPh_HduRIcTOcOCfyb.BSZfyPpEsl2.umXd46eVxrobLofzEvfh6s51bJK8Zv.mp4,a dog wiggles his bottom in a room
227,https://v.cdn.vine.co/r/videos/1A9A09E87C1020423331884720128_105f712bb90.4.4.4745769629819302061_3cinPh_HduRIcTOcOCfyb.BSZfyPpEsl2.umXd46eVxrobLofzEvfh6s51bJK8Zv.mp4,dog shaking its bottom in a room
241,https://v.cdn.vine.co/r/videos/1E3448093E1098420366805983232_183e735173f.4.7.mp4,a man lying on the floor
241,https://v.cdn.vine.co/r/videos/1E3448093E1098420366805983232_183e735173f.4.7.mp4,a man laying on his belly in a kitchen
246,https://v.cdn.vine.co/r/videos/2320D8DDE31022286286406496256_1196ccdc5f3.4.4.8750167768151240900_cjz76XFSW_lRcxMgEdVqCbVgy.J4.Hdwe00dC7yyq_5b1RTjq2uCsrMrqdHDWCYr.mp4,a person holding a phone to the ear
246,https://v.cdn.vine.co/r/videos/2320D8DDE31022286286406496256_1196ccdc5f3.4.4.8750167768151240900_cjz76XFSW_lRcxMgEdVqCbVgy.J4.Hdwe00dC7yyq_5b1RTjq2uCsrMrqdHDWCYr.mp4,a man in woman clothes falls down in sow next to street at daytime
250,https://mtc.cdn.vine.co/r/videos/2F3C4AC3441177607211065782272_315002b18b6.1.5.17458932009632344785.mp4,an asian man cries indoors
250,https://mtc.cdn.vine.co/r/videos/2F3C4AC3441177607211065782272_315002b18b6.1.5.17458932009632344785.mp4,an asian boy shows some toys and starts crying.
261,https://v.cdn.vine.co/r/videos/270115EA311129062794516430848_28a40530528.5.1.4746853560199064683.mp4,man laughs in a bathroom
261,https://v.cdn.vine.co/r/videos/270115EA311129062794516430848_28a40530528.5.1.4746853560199064683.mp4,man stands in bathroom
271,https://v.cdn.vine.co/r/videos/2A9C31BB511235368373643563008_370540de6cf.4.3.11512187637443804729.mp4,3 men are chasing each other outdoors
271,https://v.cdn.vine.co/r/videos/2A9C31BB511235368373643563008_370540de6cf.4.3.11512187637443804729.mp4,a man runs away outdoors at daytime
276,https://v.cdn.vine.co/r/videos/2D8EA4C8AA1134564927764414464_233c65c9ca3.5.1.7783255317703181082.mp4,"a child sleeps on a bed. then, he wakes up suddenly"
276,https://v.cdn.vine.co/r/videos/2D8EA4C8AA1134564927764414464_233c65c9ca3.5.1.7783255317703181082.mp4,in a bed a baby wake up
279,https://v.cdn.vine.co/r/videos/2F6883F6171147187096948527104_356b3923b28.0.1.16137210182130412106.mp4,a person is holding food with chopsticks
279,https://v.cdn.vine.co/r/videos/2F6883F6171147187096948527104_356b3923b28.0.1.16137210182130412106.mp4,a man eats in a tv show
280,https://mtc.cdn.vine.co/r/videos/305897268A1146471096972132352_3a6693aac9d.0.1.11916947180922932874.mp4,a soccer player is scoring a goal on a soccer field at daytime
280,https://mtc.cdn.vine.co/r/videos/305897268A1146471096972132352_3a6693aac9d.0.1.11916947180922932874.mp4,soccer player scoring a volley goal soccer field at nighttime
305,https://v.cdn.vine.co/r/videos/3C4848646A971902724365262848_1afcf6d443e.3.1_z_NB8f.T6rhbLgD0Z2aecqw17mzGkLJTr0C64E9dld_1YMIe3_.8lSEroDC3Y7E..mp4,a man opens his mouth
305,https://v.cdn.vine.co/r/videos/3C4848646A971902724365262848_1afcf6d443e.3.1_z_NB8f.T6rhbLgD0Z2aecqw17mzGkLJTr0C64E9dld_1YMIe3_.8lSEroDC3Y7E..mp4,a man opens and closes a door and reacts surprised.
309,https://v.cdn.vine.co/r/videos/3E7951EA431103936911833518080_13fecc5f94a.3.2.mp4,"in the daytime, a horse walks in a court"
309,https://v.cdn.vine.co/r/videos/3E7951EA431103936911833518080_13fecc5f94a.3.2.mp4,in a prairie a little pony is walking through it
310,https://mtc.cdn.vine.co/r/videos/32B265DC751336412703090253824_52dbc38a2c4.9.0.16943007567965597075.mp4,a woman is laughing in a living room
310,https://mtc.cdn.vine.co/r/videos/32B265DC751336412703090253824_52dbc38a2c4.9.0.16943007567965597075.mp4,a woman sings behind a table
315,https://v.cdn.vine.co/r/videos/4193F174591165398667814125568_3fe84aea8a9.1.5.15444510396003415420.mp4,persons are laughing together on a stage
315,https://v.cdn.vine.co/r/videos/4193F174591165398667814125568_3fe84aea8a9.1.5.15444510396003415420.mp4,7 persons are sitting in a row in front of a group of 5 persons.
398,https://v.cdn.vine.co/r/videos/6473FADAEA1047586161515716608_14a6947f35a.3.3.mp4,a man cracks an egg and a chick is coming out in a kitchen
398,https://v.cdn.vine.co/r/videos/6473FADAEA1047586161515716608_14a6947f35a.3.3.mp4,white guy cracking an egg in a kitchen
400,https://mtc.cdn.vine.co/r/videos/35D8A2E7221191824203843035136_367b1e7598f.2.0.5783036773696757994.mp4,an otter is casually floating in water at daytime
400,https://mtc.cdn.vine.co/r/videos/35D8A2E7221191824203843035136_367b1e7598f.2.0.5783036773696757994.mp4,otter casually floating around in water at daytime
410,https://mtc.cdn.vine.co/r/videos/36031E4B761300715919269847040_45bed1f0c33.5.1.7222582966642002370.mp4,"a chinese woman plays on mobile in an indoor place, where an other person moves its hand to the hair of the woman"
410,https://mtc.cdn.vine.co/r/videos/36031E4B761300715919269847040_45bed1f0c33.5.1.7222582966642002370.mp4,in a hair salon a european woman with blond hair is looking at her mobile phone
415,https://v.cdn.vine.co/r/videos/6A2AD397F61311284177333022720_4a7297f51b1.5.1.9041679425796495089.mp4,a man performs on a stage
415,https://v.cdn.vine.co/r/videos/6A2AD397F61311284177333022720_4a7297f51b1.5.1.9041679425796495089.mp4,man gesticulates on stage
484,https://v.cdn.vine.co/r/videos/8994C029811175772700363608064_33da6cbde3d.1.5.430670738906960759.mp4,2 men hug each other
484,https://v.cdn.vine.co/r/videos/8994C029811175772700363608064_33da6cbde3d.1.5.430670738906960759.mp4,a man with coat and megaphone is embracing a woman on stage.
505,https://v.cdn.vine.co/r/videos/9455C3F4101137855747732983808_3d0f6e0097c.0.1.13037039316680216535.mp4,persons film an event
505,https://v.cdn.vine.co/r/videos/9455C3F4101137855747732983808_3d0f6e0097c.0.1.13037039316680216535.mp4,persons dance on a stage
508,https://v.cdn.vine.co/r/videos/956670CAA4994789317421764608_13dde722b7b.3.4_sHybx4juhDkOCNxvbxUJov9q2djtKvas5JHlrtQ2J3Q9T.xEFvhzmrcyWJQ2O9_4.mp4,a man is wearing a black shirt
508,https://v.cdn.vine.co/r/videos/956670CAA4994789317421764608_13dde722b7b.3.4_sHybx4juhDkOCNxvbxUJov9q2djtKvas5JHlrtQ2J3Q9T.xEFvhzmrcyWJQ2O9_4.mp4,a man is knocking on a door in front of a house at daytime
528,https://v.cdn.vine.co/r/videos/9A5E46DA521033079146743734272_13892794302345ed6bfb881.mp4_RWGbe03Y2iG03lQS4T011MStq9hcIWVZkzIF5MG1aRagH2bOKx3pIoo1QnS9scUJ.mp4,a woman kicks a man in a tv show at daytime
528,https://v.cdn.vine.co/r/videos/9A5E46DA521033079146743734272_13892794302345ed6bfb881.mp4_RWGbe03Y2iG03lQS4T011MStq9hcIWVZkzIF5MG1aRagH2bOKx3pIoo1QnS9scUJ.mp4,woman kicks a man outdoors at daytime
538,https://v.cdn.vine.co/r/videos/A49720D0571002942051408842752_1ae46040843.3.4_H.w0ggD7.W_LKzD5hIzX90iJ8NnYUSgKeccOj8fcdIaTLizUL6n_ZQOc2_VSHIWo.mp4,basketball players jump on a trampoline on a basketball field
538,https://v.cdn.vine.co/r/videos/A49720D0571002942051408842752_1ae46040843.3.4_H.w0ggD7.W_LKzD5hIzX90iJ8NnYUSgKeccOj8fcdIaTLizUL6n_ZQOc2_VSHIWo.mp4,4 basketball players jump on a basketball field
539,https://v.cdn.vine.co/r/videos/A4B49B37C01148174703001800704_3d2b74b7c92.0.1.343329553798905942.mp4,men sing on a stage
539,https://v.cdn.vine.co/r/videos/A4B49B37C01148174703001800704_3d2b74b7c92.0.1.343329553798905942.mp4,men sits on a stage
541,https://v.cdn.vine.co/r/videos/A51843F3451025083828089307136_13bd50e424b.4.5.17059224540952530083_3f7zcyH7BEeiSHg15sNoAwQ3o.nuZfzkXSAGIsXUvM8m1SVFl1RiBlmoKr0hKHIL.mp4,a woman making faces in a kitchen
541,https://v.cdn.vine.co/r/videos/A51843F3451025083828089307136_13bd50e424b.4.5.17059224540952530083_3f7zcyH7BEeiSHg15sNoAwQ3o.nuZfzkXSAGIsXUvM8m1SVFl1RiBlmoKr0hKHIL.mp4,a woman hits herself indoors at daytime
549,https://v.cdn.vine.co/r/videos/A77F0C9CDE1076185752427229184_1144006454e.3.2.mp4,man holds his phone outdoors at daytime
549,https://v.cdn.vine.co/r/videos/A77F0C9CDE1076185752427229184_1144006454e.3.2.mp4,boy moves his legs outdoors at daytime
553,https://mtc.cdn.vine.co/r/videos/3AA6F100CC1256497801253548032_41e1202dbbd.0.2.3448010006328372724.mp4,goat screams indoors at daytime
553,https://mtc.cdn.vine.co/r/videos/3AA6F100CC1256497801253548032_41e1202dbbd.0.2.3448010006328372724.mp4,goat lies on the ground indoors at daytime
556,https://v.cdn.vine.co/r/videos/A92107BC6A1282851221673480192_425d57616f6.4.0.15305342422016160812.mp4,a turtle with wide open mouth
556,https://v.cdn.vine.co/r/videos/A92107BC6A1282851221673480192_425d57616f6.4.0.15305342422016160812.mp4,a turtle opens its mouth outdoors
574,https://v.cdn.vine.co/r/videos/B234D0AF7D1178520748042711040_2f1acd5dedf.5.1.6513483067590601639.mp4,runner in a sports arena run against a blue pad
574,https://v.cdn.vine.co/r/videos/B234D0AF7D1178520748042711040_2f1acd5dedf.5.1.6513483067590601639.mp4,a man jumps up a blue mattress at the end of a raceway and falls down behind it after running out together with a group of black runners.
632,https://v.cdn.vine.co/r/videos/CE7FF648341098725077027037184_226e85a8076.1.0.4232832228545617660.mp4,2 persons are singing and playing guitar in a room
632,https://v.cdn.vine.co/r/videos/CE7FF648341098725077027037184_226e85a8076.1.0.4232832228545617660.mp4,white man and colored woman singing in a room
650,https://v.cdn.vine.co/r/videos/D480F8865A1027839183550611456_1db791ca6e7.4.6.16009594499317684610_GiI6z.sHeuzIuYxuz8hUMiQA6LTy3aAJ0kSktcHTZpYTQlEmE5Yzu3SJMcRPxab..mp4,a man jumps against a girl indoors
650,https://v.cdn.vine.co/r/videos/D480F8865A1027839183550611456_1db791ca6e7.4.6.16009594499317684610_GiI6z.sHeuzIuYxuz8hUMiQA6LTy3aAJ0kSktcHTZpYTQlEmE5Yzu3SJMcRPxab..mp4,man hits a girl indoors
660,https://v.cdn.vine.co/r/videos/D91A09D8341108679248589307904_231b6120c6a.1.2.9533607224924777219.mp4,a turtle eats a watermelon on a table
660,https://v.cdn.vine.co/r/videos/D91A09D8341108679248589307904_231b6120c6a.1.2.9533607224924777219.mp4,a turtle and a small animal are eating melon.
661,https://v.cdn.vine.co/r/videos/D9AF8C880E1292220516995899392_48e9ad4b5a5.5.0.5608413761018567033.mp4,a man blocks a kids throw and scores a goal on a basketball court
661,https://v.cdn.vine.co/r/videos/D9AF8C880E1292220516995899392_48e9ad4b5a5.5.0.5608413761018567033.mp4,basketball player stealing the ball from a small kid at a basketball stadium
663,https://v.cdn.vine.co/r/videos/DA11E7EA551178004839951663104_36c169f42cf.1.5.1056014695427298480.mp4,a motorcyclist is moving around on his motorbike on a street at night
663,https://v.cdn.vine.co/r/videos/DA11E7EA551178004839951663104_36c169f42cf.1.5.1056014695427298480.mp4,motorcyclist bouncing on his motorbike on the highway at nighttime
687,https://v.cdn.vine.co/r/videos/E6B09F61D51247977151756918784_3a6c2390674.4.6.12222387913958842596.mp4,a woman says something outdoors at daytime
687,https://v.cdn.vine.co/r/videos/E6B09F61D51247977151756918784_3a6c2390674.4.6.12222387913958842596.mp4,a woman sits in front of a car at daytime
730,https://v.cdn.vine.co/r/videos/FAD4D19BF71153248815764135936_3715686289f.1.1.4493237113157399744.mp4,a man articulates and gesticulates
730,https://v.cdn.vine.co/r/videos/FAD4D19BF71153248815764135936_3715686289f.1.1.4493237113157399744.mp4,colored man emphatically explaining something in a tv studio
731,https://mtc.cdn.vine.co/r/videos/405444BD131055901158021468160_18e9c7a330a.4.8.13050101307395445154.mp4,children run outdoors at daytime
731,https://mtc.cdn.vine.co/r/videos/405444BD131055901158021468160_18e9c7a330a.4.8.13050101307395445154.mp4,kids play soccer on a soccer field at daytime
754,https://v.cdn.vine.co/r/videos_h264high/11BE7D61BA1196991649163743232_3482a6e7d49.2.1.4302647435160888916.mp4,man gesticulates indoors at daytime
754,https://v.cdn.vine.co/r/videos_h264high/11BE7D61BA1196991649163743232_3482a6e7d49.2.1.4302647435160888916.mp4,man touches his neck indoors at daytime
760,https://v.cdn.vine.co/r/videos_h264high/15749E70901316250987245527040_SW_WEBM_1456792892849aff8a1bbee.mp4,a baseball player throws his bat on a baseball field at daytime
760,https://v.cdn.vine.co/r/videos_h264high/15749E70901316250987245527040_SW_WEBM_1456792892849aff8a1bbee.mp4,baseball player hitting the ball hard on a baseball field at daytime
784,https://v.cdn.vine.co/r/videos_h264high/313EA916821295510085870944256_SW_WEBM_14518478836626aa9475fa8.mp4,a sportsman throws his helmet into the ground in a sports hall
784,https://v.cdn.vine.co/r/videos_h264high/313EA916821295510085870944256_SW_WEBM_14518478836626aa9475fa8.mp4,at a american football field player with number 2 smash his helmet and get hit by it
798,https://v.cdn.vine.co/r/videos_h264high/3DFC30843E1311161041312505856_50536a92933.3.0.15854617039256771780.mp4,2 women pose on a red carpet
798,https://v.cdn.vine.co/r/videos_h264high/3DFC30843E1311161041312505856_50536a92933.3.0.15854617039256771780.mp4,2 young women are posing in dresses on a red carpet.
799,https://v.cdn.vine.co/r/videos_h264high/4011A8AD281296553089159098368_SW_WEBM_145209654557407517300d4.mp4,a man is poking his eye with a party blower
799,https://v.cdn.vine.co/r/videos_h264high/4011A8AD281296553089159098368_SW_WEBM_145209654557407517300d4.mp4,a man hurt himself with a party horn
815,https://v.cdn.vine.co/r/videos_h264high/4DF7B242D11318384495334137856_56dca83dd411d9851e964d6.mp4,a dog jumps over an obstacle onstage
815,https://v.cdn.vine.co/r/videos_h264high/4DF7B242D11318384495334137856_56dca83dd411d9851e964d6.mp4,in a hall a white dog is jumping hop over obstacles
818,https://v.cdn.vine.co/r/videos_h264high/518295626E1284538286471520256_SW_WEBM_1449231905974fd667086d8.mp4,a person is wearing dark shades
818,https://v.cdn.vine.co/r/videos_h264high/518295626E1284538286471520256_SW_WEBM_1449231905974fd667086d8.mp4,a person take off his sun glasses outdoors at daytime
827,https://v.cdn.vine.co/r/videos_h264high/5C636FCC1E1301842060038815744_SW_WEBM_145335753715407b36d6f70.mp4,a man is making the hair of another man
827,https://v.cdn.vine.co/r/videos_h264high/5C636FCC1E1301842060038815744_SW_WEBM_145335753715407b36d6f70.mp4,a man styles other mans hair outdoors
829,https://v.cdn.vine.co/r/videos_h264high/618725FBD31241196677646458880_16e03a24e64.3.2.mp4,a woman dancing on a stage
829,https://v.cdn.vine.co/r/videos_h264high/618725FBD31241196677646458880_16e03a24e64.3.2.mp4,a woman dances on a stage
834,https://v.cdn.vine.co/r/videos_h264high/6BF69FAC971274232992709378048_SW_WEBM_14467750299659fdeb122b2.mp4,football players hit a camera outdoors
834,https://v.cdn.vine.co/r/videos_h264high/6BF69FAC971274232992709378048_SW_WEBM_14467750299659fdeb122b2.mp4,football players push a camera outdoors
853,https://v.cdn.vine.co/r/videos_h264high/856698EE7B1319591237598474240_5a72758c8e6.7.0.6795005863189855215.mp4,a basketball player is scoring a field goal on a basketball court
853,https://v.cdn.vine.co/r/videos_h264high/856698EE7B1319591237598474240_5a72758c8e6.7.0.6795005863189855215.mp4,basketball player scoring a buzzer beater in a basketball stadium
854,https://v.cdn.vine.co/r/videos_h264high/85BDDD6DEC1322921832302919680_SW_WEBM_14583833472382fd7e5a117.mp4,a boy says something on a stage
854,https://v.cdn.vine.co/r/videos_h264high/85BDDD6DEC1322921832302919680_SW_WEBM_14583833472382fd7e5a117.mp4,an asian man saying something in a microphone on a large screen on a stage is shown.
864,https://v.cdn.vine.co/r/videos_h264high/9133DEFF701169795084720721920_SW_WEBM_14218750900415adbe49293.mp4,a white woman in a dining room screams and gesticulates with her arms
864,https://v.cdn.vine.co/r/videos_h264high/9133DEFF701169795084720721920_SW_WEBM_14218750900415adbe49293.mp4,a woman standing in a room is saying something making gestures.
919,https://v.cdn.vine.co/r/videos_h264high/D64806ADAC1318751001020608512_13b8d636f05.3.2.mp4,a woman appears in different looks onstage
919,https://v.cdn.vine.co/r/videos_h264high/D64806ADAC1318751001020608512_13b8d636f05.3.2.mp4,on a podium a european woman with long hair is shown in a sequence of different scenes
935,https://v.cdn.vine.co/r/videos_h264high/E2E9343CA71295982073043193856_4ce7021a16d.5.0.3361674346099331307.mp4,a woman wearing large earrings
935,https://v.cdn.vine.co/r/videos_h264high/E2E9343CA71295982073043193856_4ce7021a16d.5.0.3361674346099331307.mp4,a woman holds her chin indoors at daytime
941,https://v.cdn.vine.co/r/videos_h264high/E5A28DE9391324394516836466688_SW_WEBM_1458734467938e75ce4f9ba.mp4,man holds a hammer indoors
941,https://v.cdn.vine.co/r/videos_h264high/E5A28DE9391324394516836466688_SW_WEBM_1458734467938e75ce4f9ba.mp4,a woman moves a sword indoors
952,https://v.cdn.vine.co/r/videos_h264high/EF4A8D91101224051197909303296_1508b9d009c.3.2.mp4,a person puts out the tongue
952,https://v.cdn.vine.co/r/videos_h264high/EF4A8D91101224051197909303296_1508b9d009c.3.2.mp4,a man sticks out the tongue in different locations
955,https://v.cdn.vine.co/r/videos_h264high/F1F0D7E31C1311056698269732864_5f903bb593f.3.0.13833737727010384315.mp4,a man bastes himself with a shake in a restaurant
955,https://v.cdn.vine.co/r/videos_h264high/F1F0D7E31C1311056698269732864_5f903bb593f.3.0.13833737727010384315.mp4,a man in a restaurant starts pouring milkshake over his head.
957,https://mtc.cdn.vine.co/r/videos/462A2AB3BD1300339429944324096_44073224797.5.1.10899038391314684618.mp4,2 men are fighting in a boxing ring
957,https://mtc.cdn.vine.co/r/videos/462A2AB3BD1300339429944324096_44073224797.5.1.10899038391314684618.mp4,a wrestler throw another wrestler on the mat in a wrestling fight ring
983,https://mtc.cdn.vine.co/r/videos/487C0824-C9A0-4EEB-9075-CCFEFFD88C03-16152-000005C8F2D27258_18d79d56541.1.3.mp4,a puppie walking down some stairs
983,https://mtc.cdn.vine.co/r/videos/487C0824-C9A0-4EEB-9075-CCFEFFD88C03-16152-000005C8F2D27258_18d79d56541.1.3.mp4,a dog manages stairs safely indoors at daytime
989,https://mtc.cdn.vine.co/r/videos/4A49886B261135261803845492736_255fa387a1d.5.1.5094887565282772312.mp4,a kitten meows in a cage
989,https://mtc.cdn.vine.co/r/videos/4A49886B261135261803845492736_255fa387a1d.5.1.5094887565282772312.mp4,a kitten meows in a cage
1000,https://mtc.cdn.vine.co/r/videos/4EA7CB72AD1299817365059801088_48d2e9ad36d.5.1.10242369435598483619.mp4,a cat in a superman costume climbs into a carton in a room
1000,https://mtc.cdn.vine.co/r/videos/4EA7CB72AD1299817365059801088_48d2e9ad36d.5.1.10242369435598483619.mp4,cats sitting around surprised in a room
1004,https://mtc.cdn.vine.co/r/videos/4F8AFDCDDF1285758225467244544_4688ae56a3b.4.1.765798070727877038.mp4,a person is wearing pink suit
1004,https://mtc.cdn.vine.co/r/videos/4F8AFDCDDF1285758225467244544_4688ae56a3b.4.1.765798070727877038.mp4,a person smiles into the camera on a stage
1015,https://mtc.cdn.vine.co/r/videos/53F59981DB1263697352721084416_4d35e07bd96.0.2.7870364516596564015.mp4,"in the daytime, a man pulls a chocolate with a small instrument. the chocolate is filled in and out the instrument"
1015,https://mtc.cdn.vine.co/r/videos/53F59981DB1263697352721084416_4d35e07bd96.0.2.7870364516596564015.mp4,in a workshop a brown liquid move upward once a metal object is put in
1024,https://mtc.cdn.vine.co/r/videos/567F787DEF1183700472029429760_36c54890403.1.5.9142046159179931205.mp4,a man in a costume nods to a woman outdoors at night
1024,https://mtc.cdn.vine.co/r/videos/567F787DEF1183700472029429760_36c54890403.1.5.9142046159179931205.mp4,two asian people talking to each other outside at nighttime
1025,https://mtc.cdn.vine.co/r/videos/56A7461C671089212597133586432_1109a584d4f.3.2.mp4,a man in swimming trunks holds a ball in front of his crotch
1025,https://mtc.cdn.vine.co/r/videos/56A7461C671089212597133586432_1109a584d4f.3.2.mp4,naked asian man talking to the camera
1030,https://mtc.cdn.vine.co/r/videos/591551FD861057866874471493632_171054b2e3b.4.8.8740886621737430769.mp4,young plays with basketball in the sports hall. he strikes an other young to the face with his hand and shoots the ball
1030,https://mtc.cdn.vine.co/r/videos/591551FD861057866874471493632_171054b2e3b.4.8.8740886621737430769.mp4,in a basketball hall a boy beat his opponent and make a score
1034,https://mtc.cdn.vine.co/r/videos/5A3CF790C91061848717650538496_123565885fe.3.2.mp4,a woman wakes up in bed
1034,https://mtc.cdn.vine.co/r/videos/5A3CF790C91061848717650538496_123565885fe.3.2.mp4,a girl is waking up from a green pillow.
