video_id,description_0,description_1,description_2,description_3,description_4
2461,A group of people are being filmed riding up on the escalator.,A lady steps off of the escalator that is going down as another woman steps onto the escalator that is going up.,A man and child ride an escalator to the second floor of a shopping complex.,Woman in green top walks toward escalator and rides up behind a man in a shopping mall.,People carry bags and ride up an escalator in a mall.
6459,A truck drives up a hill on a road in the woods without leaves.,A van slowly drives up a hill in the woods while a few people wait for it at the top.,A sport utility vehicle drives up a hill in the middle of the woods.,Large SUV climbs steep trail while hiker stands nearby to observe.,A car slowly moves up an incline as it drives through the woods.
4207,Two people are walking up some shrubbery and bushes carefully.,Two people with backpacks and walking sticks climb up a hill.,Two people are climbing up a hillside with trekking poles and backpacks through brush.,"two people with backpacks climb a narrow trail, the woman in the back has hiking poles",Two people are walking very slowly up a small pass with tree and shrubs on both sides.
2259,A young skier in a purple jacket holds onto a ski pole with both hands.,A person in cold weather apparel uses a ski pole for support as he or she goes up the snowy incline.,A person on a slope of snow holding onto a pole to keep from falling.,A person in a purple coat and goggles is standing in the snow.,A child in a purple coat holds onto a ski pole in the snow
4528,This person is climbing up the stairs in a factory,a person walks up some stairs that are in a room,"A point of view video of walking up a flight of stairs, with pipes on each side of the staircase",A video of someone going up a flight of stair in a dark room,Walking up a dark staircase surrounded by many pipes on both sides
4836,this definitely looks like it could be a dangerous sport,Someone is filming their surroundings while they walk around a rocky path.,"As we climb up the mountain, we are greeted by a beautiful site of clouds, blue sky and additional mountains.",A video of someone going up a rocky hill during a windy day,A flag waves atop a rocky and steep surface in the outdoors.
9517,People using escalators going both up and down in a mall.,People are going up and down an escalator at a shopping mall.,Two escalators that are side by side are moving simultaneously in opposite directions.,"In a mall, one escalator is going up and the other is going down.",A  couple of people ride the escalators up and down at the mall.
3174,here is a mountain that is covered with snow and there is not much sunlight,"Snowy mountains are viewed from afar, with a glimpse of prints in the snow.",A camera smoothly pans across snow covered hills during a nice day.,Snow covered mountain top all around with nothing else in sight.,The camera pans around extremely tall snow cover mountains on a cloudy day
7577,Homemade amateur video of hiking enthusiasts during their trail walk.,a person wearing a blue jacket and black boots climbs up the steep hill,Two hikers climbing the side of a large hill and stopping to rest.,A person in a black and grey outdoor outfit climbing up a muddy slope,A group of tourists in the woods climbing the mountains
3412,A large fireworks display is seen in the darkened sky at night.,A large display of fireworks exploding in the sky in white and red colors.,Multiple fireworks are exploding in the night sky with white brilliance.,fireworks of various colors rise and explode in the sky at night,Many different fireworks are on display while others are making their way to the sky
7787,"Wearing a gopro on his helmet, a rock climber is filming his climb up a rocky mountain side.",Man is attached to a string climbing up against the rocks.,a person wearing gray is being repelled upwards a side of a rocky mountain side,"A man in a grey shirt is pulling himself out of a cave, while being assisted with a climbing machine. ",A man is using a machine to pull himself up the cave.
8086,A man with a helmet is climbing a telephone poll.,A man quickly is pulled by a rope harness up high as he taps his feet against the wooden pole.,A man ascends an outdoor obstacle course using a rope.,A person with a black shirt and a yellow hat,A man climbs up a pole while wearing a helmet and a safety harness.
8831,"On an outdoor patio, two dogs plays fetch with a small white ball",Two dogs run for a ball thrown past an outside couch,"Two white dogs, one large and one small, chase after a tossed ball.",two white dog run to catch a ball across a patio,One large white dog and a small white dog chase after a tennis ball on a patio.
4810,wrestling and the coach breaks them up while others in the background shows the winner,A woman in a white jersey gets up from the ground after grappling another.,Two competitors end their match as a crowd watches them.,Two girls in a martial arts competition competing in front of a crowd.,People in uniforms compete on mats while groups of people watch.
1020,A child working with a martial arts instructor in class.,A child in a taekwondo uniform does a kick at their instructor's hand,Children work with adult coaches to kick in a way they can break a piece of wood.,A child practices delivering a karate kick with his teacher.,A woman in black is teaching karate to a small child.
4808,Several soldiers in fatigues gather and crouch next to a piece of artillery.,A group of people in military uniforms lay on the ground near some machines.,Group of men in the military are kneeling down on the grass.,A bunch of soldiers on the field during military practice with guns.,A group of military are firing their weapons on an open field
1232,a small child runs and jumps on a person wearing blue lying in the grass,A person is lying in the grass with children on top of them.,A boy in blue lays on an adult while a boy in red runs towards them in the grass.,A child is laying on the ground when another child comes to jump on top of him.,a child jumping on an adult on the ground playing outside
9521,"Two birds, one pecking at something and the other just looking",Two small birds perch on a woman's shoulder as one pecks her shirt.,"Two parakeets sit on a black and pink blanket, while the blue parakeet vigorously pulls at it. ",A blue and yellow bird are out of their cage and peck on a pink cloth.,Two birds are sitting on a person's shoulder and one of the birds is pecking at the persons shirt.
9409,Two young children run into a boy and hit him with pillows as two people watch.,Three children play together as two run toward the other to hit him with pillows.,Siblings are seen having a pillow fight and joking around,Two little kids hit another kid with pillows as two adults observe,A boy in a green striped shirt playing with other kids
549,A white and black spotted little dog playing with its owner in the kitchen.,A small black and white puppy plays with a person.,A white and black dog playful plays with a person in the kitchen.,A white and black dog playing with its owner in the kitchen,A person playfully moves around as a dog follows him
9165,"Decorator uses dark icing in piping bag to make an outline of Donald Duck,",A decorator carefully draws Donald Duck using brown icing from a tube.,A person holding an icing tool making a picture with it.,"A person traces the lines of a cartoon character, with a piping bag of melted chocolate, onto wax paper.",A closeup of someone's hands as they are decorating a cake
355,A flat bread turns on a platform inside an oven,Food on a black pan turning and cooking above the flame.,"A piece of white, flat bread is cooking on a hot surface.",Some sort of tortilla cooking in a comal with a high flame underneath it,Pizza dough cooking in a hot-iron oven waiting to rise.
3718,A person is rolling some dough in a circle in front of other people.,Man in black shirt is making shapes with dough and places it down.,A person demonstrates how to roll dough in a cooking class,A man in a black shirt twists dough around his fingers.,A person in a black shirt making pretzels with a person in a red shirt
8759,One had is holding down a yellow board while using the other hand to knead the dough on the board,A person is making dough on a yellow board with their hands.,A hand kneads dough on a bright yellow cutting board.,Dough is being kneaded repeatedly on a yellow cutting board,A person kneads a pile of dough on a yellow cutting board
9700,A lady is baking cakes and cautiously pulls one from the oven,Woman holding a knife in hand is removing something from silver case.,A person attempting to grab a pan out of an oven .,a lady in a white shirt and another lady behind her,a woman in a white shirt reaches to remove food from an oven
4197,A chef cutting some butter to pour it into a bowl.,A chef is cutting and then adding butter to a mixing bowl.,A person is cutting butter with a knife and tossing it in a bowl.,A cook slices butter and puts it in a bowl of batter.,A man slices butter off of a stick and puts it into a mixing bowl
6070,A woman in a star patterned apron is baking with a young girl in a teal shirt.,"In her kitchen, a mother and her young daughter are cooking or baking. ",A woman wearing a red and white starred apron cooks with a child.,A lady unscrewing the lid of  a bottle while cooking some pizza,a woman is cooking in a kitchen while a toddler watches
7754,a man climbs out of a pool of water while at a religious ceremony,A priest is speaking to a person leaving a baptism basin.,A minister in a white robe is directing a young boy into the baptismal pool.,A bald man in a white robe talks to a man who is sitting a large pool of water.,A man is sitting near water while a person is in the water
7926,A man stands next to some water and looks at the camera.,A man in a white robe holds he hand out as he stands next to a large container of water with blue stairs.,A pastor and a man wait by a baptism bucket.,A bald man in a white coat stands beside a blue tub of water,A preacher in a white robe prepares to baptize a person
8702,A hefty built man is talking in front of an amazing painting of a river.,a man sits in front of a picture of a waterfall with a blonde haired child,The man talks to his child in a restaurant with a very lovely picture of scenery behind him.,A man in a grey shirt speaks to a young boy with a painting of a waterfall in the background.,A person sitting down wearing a white shirt with a kid in his lap
4343,Man in white robe is standing in front of a little boy in the water in the room.,A man wearing a white robe is holding a small boy in the water.,A minister in a white robe and a small child are standing in the baptismal pool.,The ordained man speaks and rests his hands on the shoulders of the young boy that is about to be baptized.,A man dressed in a white robe stands in a pool of water with a boy.
5869,A person is cooking sliced potatoes on a charcoal grill.,Something is grilling on a piece of aluminum foil on a grill.,a person reached over towards food cooking on foil over fire that,A grill is shown with many items on it with a person grabbing something from the sheet,A meal is being prepared outdoors on an open fireplace
1471,"Hotdogs, hamburgers, and skewers being roasted on a charcoal grill.","Shish kabobs, hamburgers, and hot dogs are cooking over a briquet barbecue. ","Someone cooking hot dogs,hamburgers and skewers on a grill outside.",A person adds more hot dogs to hot dogs and skewers of meat cooking outdoors on a charcoal grill.,A person placing meat on a grill next to other meats
3093,Two people wearing white t-shirts and caps are making barbecue.,Two men in hats are grilling hamburger patties on a grill.,Two men cooking a ton of meat during a sporting event,Two people with light shirts and caps on preparing food,Two men standing in front of a grill as many hamburgers cook on it.
3536,A man grills a multitude of hamburgers on an outdoor grill.,A man in white attempts to flip a burger on an outdoor grill with two other men nearby.,A person flips burger patties on a grill while another watches.,Two men in white shirts grilling on a very large grill,Two men in white shirts cook burgers on a large grill
6611,A curly haired baby is sitting in a bubble filled sink.,A baby is in a sink with water and bubbles playing.,A baby is  in a small sink playing with bubbles and someone swishes the water with both their hands.,A small infant and adult play in a bubble filled sink.,A baby is playing while taking a bubble bath and someone is playing with him
5425,A parent gives a young baby a bath and shakes his arms and splashes them in the water,In a small bathtub a person is jiggling an infant while in the water.,A baby is in a bathtub while someone swishes her arms in the water.,A person holding and shaking a baby placed in a water bath,someone bathing a newborn baby in a small green tub
8400,A baby is taking a bath and playing with their toys.,A baby is sitting on a blanket inside a bathtub with a little water.,A baby plays with a collection of toys in the bathtub.,A baby in a tub surrounded by toys looking up and smiling,A small baby plays with toys in a white bathtub.
9736,A baby is smiling while taking a bath in a tub.,A baby smiles at the camera while in the bathtub and comes closer.,A young baby is taking a bath in the bathtub while smiling.,A child in a bathtub has wet hair and is smiling very large.,A baby sitting in a bathtub while looking and smiling at the camera.
8407,3 boys are in a bathtub playing with bubbles and little toys.,a few kids sit in a tub with each other and bathe,Three young Asian children are blowing bubbles in a bathtub.,Three young children play with toys and blow bubbles in the bathtub.,Two young children and a baby are in a bathtub with toys playing with bubbles.
7740,The baby is in the bathtub and is eating a white and pink wash rag.,a little baby takes a bit of a sock that they have in the tub,A baby chews on a washcloth as they bath in a small bath.,A baby is all wet in water putting a white object into its mouth.,a baby laying the water places a towel into its mouth
1386,A toddler talks as he sits in a bathtub playing with cups and a bucket.,A young boy is seen playing in a bathtub with cups and buckets.,Little boy is sitting in the white bathtub with water and toys.,A toddler is taking a bath while playing with bath toys.,A baby in the bathtub playing with his toys and a blue bucket
428,"Two children are playing with toys inside of a bathtub, one of them is smacking the tub.",Two children take a bath with toys and one hits the tub,A little boy standing and smiling in the bathtub with another baby sitting in the bath.,"two toddlers take a bath in a tub together, one stands and slaps the side of the tub",Baby is in tub with another baby and is tapping tub.
7715,Two children play in the bathtub in water that is pink.,Two children are smiling in a bathtub taking a bath.,Two kids sit in a bathtub playing at bath time,Two children play in a bathtub full of red water,Two small kids are in a bathtub filled with red water
5058,an infant child sitting in a bathtub full of water playing with water toys.,Baby is sitting inside the tub filled with water and toys.,A toddler is playing with a blue ball while sitting in the tub.,A baby plays in a bathtub with a blue bowl.,A naked baby is playing in the bathtub with toys including a blue bowl.
9618,A baby smiles and splashes as it lays on a support in a bathtub.,A young child lays in a bathtub as a rubber ducky floats beside them.,A baby is laying on a plastic mat in a bathtub with a rubber duck floating beside it.,A little baby smiles and laughs while taking a bath in a bathtub.,A baby on a tub holder bathing happily in the tub
3924,A small child playing with toys while taking a bath.,A young boy plays with toys while sitting in the shallow water of a bath.,A little boy picks up floating toys in a tub and drops them in as he bathes.,A kid in a bathtub halfway full with water playing with its toys,A baby is sitting in a bathtub and playing with various toys.
6017,A young child in a bathtub using a red comb to comb the top of a doll's head.,A young child is taking a bath while holding their baby doll.,A sweet baby girl gives another baby a bath all by herself,A baby in a bathtub with a baby doll on his lap,A young baby in a bathtub brushing a doll's head with a comb.
2668,A baby plays with bubbles while taking a bath in a tub.,A young child sits and splashes in a soapy bathtub.,A young baby is in the bathtub taking a bubble bath.,A child is playing in a bathtub that is full of bubbles.,A child in a bathtub playing with the soapy bubbles.
6928,A baby taking a bath with their father pours water on the father's head,"Cute! While a father gives his baby a bath, the baby is taking his toy tugboat and drenching his father's head.","A baby, seated in a bathtub, is pouring water on the back on a man's head.",A baby washes the head of a man in a white shirt,A baby in a tub pours water over a man's head as he leans forward
8828,A toddler is being filmed bathing as they attempt to dump water over their head.,A baby pours water on his head from a bowl while sitting in a tub of water.,A little baby sitting in a bathtub pours water over its head using a container.,A small baby sitting in a bathtub holding an empty plastic bucket.,a baby in a bathtub holds a clear container over its head and peers down into the water
463,A young baby is taking a bubble bath with his parent.,A toddler is sitting in a blue baby tub.  Someone is giving him a bath.  He is holding a sponge in his hands.,A baby holds a sponge in a tub as it gets bathed with water,The baby curiously looks around at what his brother is doing.,A baby is getting a bath in a blue little tub while he holds a yellow sponge.
2759,Two animals are in the sea and are pulling at each other.,A pair of ducks kicks while diving for food underwater.,A brown otter cleans its slick fur while floating on the surface of the water.,An otter is floating and washing his face in the water.,An otter is laying on its back in water floating and wiping its face.
6387,An otter floats in the water as it grooms itself.,An otter floats on the surface of the water and cleans itself.,An animal is laying in water chewing its foot making ripples in the water.,A couple of ducks in the middle of the water playing with each other,A beaver cleaning himself in the water while floating on his back.
4953,A happy baby is sitting in a bath ring splashing in the water.,a baby sits in the tub and splashes around and also laughs,"A baby, sitting in a bathtub seat, happily splashes the water. ",a baby plays a a safety ring within a bathtub,A young boy is splashing and playing in a tub full of water excitedly
870,A young boy in a bathtub throws something with his mouth and smiles.,A young boy in the bathtub shakes his head and smiles.,A young boy smiles and sits down in a bathtub,A young boy shaking his head no in a bathtub.,A little boy in the bathtub shakes his head while smiling.
1169,Just an ordinary day in my pool.Flaming going with my swimming,a pink flamingo floats along the surface of the water,A white good with an orange bottom is taking his head out of the water and moving along.,A white bird floating and swimming in a murky body of water.,A white and brown flamingo bird swimming around in the water.
3274,This one isn't playing anything but it won't let me progress until I type ten words.,A baby is laying in a bath of water getting splashed while moving their legs.,A baby wearing a diaper is given a bath by an adult,A baby is seen in a baby bath as someone splashes water on it,A baby is tickled by his mother splashing water onto them.
2453,A baby is in the tub of water reaching for their toys.,A baby with light blond hair is sitting in the bath with his toys.  He has a small blue bucket on his arm.,A young boy swings a bucket from his arm as he takes a bath.,A baby is in tub full of water and small bucket on arm playing.,A little baby plays with toys in a bathtub with water in it
6071,a brown duck in a blue bucket playing with the water.,A small duck plays around in a bowl that has water.,The female mallard duck is drinking water out of the blue tub.,a duck in a blue ball sticks its head in the water,a duck takes a bath and splashes about in a small bucket of water
4670,Two young children sitting in the tub playing with a selection of toys.,Two small children in a bathtub full of bubbles playing with their toys.,Two babies are in a bathtub playing with floating plastic toys.,Two young babies sitting in a soapy bathtub and playing with toys.,Two young children in a soapy bathtub playing with toys.
4213,A child is sitting inside of a bathtub which has water pouring in it.,A small boy is neck deep in a bathtub of suds watching the water from the spout.,A boy is in a full bubble bath with only his head out of the water and water is pouring in.,a child taking a bubble bath with a couple small toys,A baby in a bathtub with toys and the water to his neck while water running
6851,A baby plays in the water as they sit naked in the bathtub.,"A little bay sits in the bathtub, playing with a toy and touching the water.","A baby sitting in a bathtub full of water, moving their hand through the water.",A little baby boy enjoying bath time with his favorite bath toys.,A little boy is in the bathtub and playing in the water.
2167,A dog is outside taking a bath in the puddle.,A small brown and white dog splashing around in a large puddle of water.,A dog gets very muddy while playing in a puddle in the woods,a brown and white dog plays in a dirty puddle,a dirty dog splashes around and has fun in a muddy puddle
9808,A bird flies out of a white sink that has a running faucet,A green and red bird jumps out of a sink that's filling with water,A sink is running with water as a little bird jumps out of it.,One bird jumps out of a small sink with the water running,A birds hops out of a running sink and on to the counter.
5788,Baby taking a bath and playing in the water with toys.,A baby is playing with toys is a small blue bathtub.,a young child plays with toys while sitting in a blue plastic tub of water,A baby kicks and splashes in a plastic blue bathtub.,A baby playing excitedly in his baby tub with his toys
3475,ayoung baby plays with a tub full of water and toys,A small child plays with toys in a sink full of water.,The wet baby is playing with toys in the sink.,A happy child playing with his toys inside a sink filled with water,A baby plays with toys in a bathroom sink full of water.
2785,A bird takes a dip in a shallow collection of water as it splashes about,A small brown bird is sitting in the water flapping its wings.,A bird flaps its wing while sitting in a pool of water.,It is raining and a duck flaps its wings in the lake to get the rain water off of its body,a birds flaps its wings as it bathes in a puddle of water.
9123,A blue bird and a green bird sit in a bird bath in the water.,Two birds sit in a bird bath as one flaps its wings quickly.,Two birds are facing each other sitting in a bird bath.,Two birds sitting in a short stone fountain in a grassy field.,two birds sit in a gray ornamented bird bath on a green and brown lawn.
5280,A couple of birds walk around on the ground during the daytime.,Two birds jumping around on small branches on the ground by water.,two little birds are playing near a puddle on a bank of dirt and sticks.,Two yellow birds next to water moving around flapping their wings,"Two matching birds fly alongside a puddle, dirt, and sticks"
8889,Sister takes care of her baby brother by giving him a bath.,A young girl washes an infant who is in a baby bath tub.,A child wipes the spittle off of a baby's face as it lays in a bassinet.,A little girl is cleaning a baby's mouth while the baby is laying down in a yellow chair.,A small girl wipes a baby's face with a washcloth to give it a bath.
9088,Yellow toy pan is placed on top of green cup with handle.,In a bathroom there is a tub of water with stacked toys on the side.,A toddler is sitting in a bathtub full of water.,A green mug and a yellow frying pan are in a tub of water in a bathroom. (???),Dishes are piled on top of one another on the side of a larger blue tub
3340,a small animal coming out of the snow and looking around nervously,"A small bird is moving among a bare spot in an otherwise snowy, forest floor.",A bird plays around in a small pond surrounded by snow.,A small bird slides around on the ice on the snow banks.,A small bird is standing in a puddle of water among the melting snow.
2928,A bird is in a flower garden taking a bath in a birdbath.,a brown bird takes a dip in the birdbath surrounded by colorful flowers,"A bird sits in a bird bath, surrounded by plants and flowers.",A bird is sitting in a birdbath surrounded by flowers,A bird is walking in the bird bath surrounded by flowers and bushes
7667,Several yellow and white birds gather amongst two bird baths while they bath.,Several small green birds are visiting two birdbaths and splashing water.,"Small, lime green - colored birds play in two circular bird baths.",A group of yellow birds splashing around in two bowls filled with water.,several yellow birds take a bath in a birdbath splashing the birds on the side
2001,A bird stands in a low pond and dips its head in the water.,Small black bird is sitting in the water and putting its beak in its mouth.,A hawk is walking in shallow water as it dips its head underneath for food.,A bird wades through water and pokes its head in it,A brown and white bird standing in shallow water splashes water on itself.
9762,A pigeon sitting in water shaking water off of itself,a grey and white bird takes a dip in the water to bathe and cool off,A bird sits in a body of water and flaps its wings.,A bird sitting in water flaps its wings and shakes it head,A gray and white bird lifting his wings up and down in waves of water.
3548,There are three ducks who are swimming - two of which are taking turns bobbing under the water.,"a group of ducks in water, with several splashing water on themselves",Some ducks dunk their heads and then pull them out of the water.,Two ducks  dive their heads into water and shake the water off.,Two ducks sitting side by side are dipping their heads in the water
3283,A child is sitting in a bath playing with the bubbles.,A baby girl is sitting in a bathtub and playing with the bubbles.,A long blonde haired child takes a bubble bath and plays with the bubbles.,A toddler girl sits in a bathtub full of foam.,a child talks will sitting in bath tub of bubbles
3069,a very young looking baby enjoying a bubble bath and smiling,A baby giggling as he is sitting in the bathtub with his toys.,A little baby is laughing while playing in the bath.,A happy baby opens his mouth in a bath in front of a small toy.,A baby in the bathtub smiling and laughing at the camera
9453,here are two people with one person bent down looking at an item,a girl bends over to find something in a bag,A young girl is bent over on the ground going through a bag.,The young people in the school uniforms give all their attention to a small item on the sidewalk.,A girl in a white shirt is bending over on a sidewalk while others watch.
744,The teens are playing backyard team volleyball in the hot sun.,A group of people are on the grass playing volleyball.,Men and women play a round of volleyball outside on a sunny day.,A group of teenagers is playing volleyball in the backyard.,A group of people play volleyball outside in the grass.
3226,Many people are standing on a bar and the bartender is watching from behind.,men stand on top of a bar and raise their hands and clap,A line of people stand on the counter in a bar.,A group of patrons in a bar are having fun together on the bar itself.,A group of people inside a building standing on top of a table
4875,People are standing as an audience in the background of a gymnasium which is surrounded by flags of different countries.,Two fencers release their stance during a competition in a gymnasium.,A jousting match is taken place in the middle of a basketball court in college.,In a gym two fencers prepare to fence while one notices something is wrong.,A man wearing a white suit and helmet turns to look behind him
5501,an elderly man holding a baby is interacting with 2 young kids,There are two small girls wearing the same striped shirt and then the camera turns to an older man holding a baby.,Two girls dressed in stripes look at their younger sibling being held by their father.,Two girls in matching outfits watch on while an older man holds a baby.,Two girls look at an older man picking up a baby
7687,Someone in a yellow and black uniform is on a hockey rink skating backwards.,A person is on the ice wearing skates and carrying a hockey stick.,A person in hockey gear is practicing skating backwards in an empty rink.,The hockey player is quickly skating backwards around the rink with his stick while in all of his gear.,A Hockey player in a yellow jersey is skating backwards on the ice
7097,A group of people with microphones perform on stage while others watch.,Several people are standing on a stage talking and looking at each other.,Group of men are playing and performing on the stage together.,A group of performers talks amongst themselves on a stage.,People performing improv comedy on a stage in front of people.
9516,Somebody dressed in colorful robes and drapes stoops down underneath a table.,"Two angles of a person wearing a long green and yellow robe or dress, bending over at their waist in front of a desk and chair.",A lady in a yellow and green dress is leaning forward and crouching in a kitchen.,Some kind of animal wearing a blanket is moving around in a room.,A woman is bent over side a table and chairs showing her clothed bottom.
7955,A man dancing on the stage in front of his friends,A man with a paper in his mouth that hands it to another man.,A smiling man performs something funny to an intimate audience,A man with hay in his mouth and another wearing a cowboy hat,"A young man gestures surrounded by other young men and a large ""27"""
9183,A person is tied by their feet falling into the sky.,a person bungees off of a bridge while they are outside,A person releases themselves and drop to the forest floor with a rope tied to their ankles.,A person bungee jumped and is now swinging through trees.,The bungee jumper drops down toward the lush green landscape.
2845,A baby looks around in a box for something that he finds interesting.,A young boy reaches inside a cardboard box and takes out a piece of fruit.,Toddler in blue outfit is picking items from the brown box and putting it on the floor.,A toddler in blue moves an apple from box into another.,a child taking things from one box to another box in a living room
7386,A family sits in a living room laughing as a they impersonate a baby,A woman claps and laughs as two men play with a baby.,a group of adults kneeling on the ground are looking at a child sitting on a couch,Two men and a woman sit in a living room and smile and move in time to a child sitting on a couch.,Two men are sitting on the floor moving back and forth with smiles toward a child
9214,A small girl trying to dance in the middle of the kitchen with wood floors,a girl wearing pink pajamas bends down and sways her arms back and forth,Little girl with blonde hair bends over and moves her arms around.,"A young girl in a pink shirt and shorts dances in a kitchen, waving her arms around.",Little girl waves her arm as she arches her back.
1613,A man lines up his shot and swings poorly at a golf ball.,An elderly man addresses a golf ball before driving it down the fairway.,Out on a golf course a man is practicing by hitting golf balls.,An older man hitting a golf ball off the tee of a golf hole.,A man in a white shirt is using a club to hit a golf ball.
9920,A person in a red shirt pedals fast on a bike while others watch.,A man pedals fast on a stationary bike in front of a group of people.,A man wearing a red shirt pedals a bicycle furiously.,a man in a red shirt pedals a bike while it stays in the same spot,Someone rapidly pedals a bike on a treadmill as people watch.
9431,A mountain biker goes over a log and crashes into the ground.,"Someone is trying to go over the thick tree bark, then falls. ","A man in a green hoodie maneuvers his bicycle over a fallen tree, then falls.",A man attempts to ride his bike over a fallen tree and stumbles.,The guy in the green coat makes his way clumsily over the fell tree.
8688,Young people are out biking and the little boys tries to see how long he can bike with his hands off of the handle bars.,A group of kids ride their bikes along the road near some trees.,A boy quickly reaches his hands while riding a bike down the road.,A little girl is riding a bike and a boy comes into frame and takes his hands off the handlebars for a quick second.,A group of kids riding their bikes outside on a road
